SYMBOL,FS1.A.A431,FS1.B.A431,FS2.A.A431,FS2.B.A431,FP1.A.A431,FP1.B.A431,FP2.A.A431,FP2.B.A431,FP3.A.A431,FP3.B.A431,markers
ACTL6A,0.105902162,0.111626849,0.132996587,0.137692833,0.092705347,0.092823663,0.06203413,0.065756542,0.099986348,0.09847554,unknown
ACTN1,0.162908133,0.174457887,0.156372705,0.153719622,0.068246135,0.070483569,0.05835898,0.057890268,0.04961265,0.047950051,unknown
ACTN2,0.093126779,0.102879007,0.11576688,0.094713266,0.093126779,0.089524521,0.131323783,0.121562223,0.080854836,0.077121926,unknown
ACTN3,0.181061916,0.174087716,0.190466645,0.108605411,0.094373032,0.087649402,0.040483767,0.039631829,0.035129921,0.048510361,unknown
ACTN4,0.106323992,0.107298067,0.170622284,0.169329762,0.086308632,0.089446276,0.07367376,0.073420875,0.060261502,0.063314851,unknown
ACTR10,0.286886259,0.249812614,0.086766002,0.079921257,0.0490746,0.048077953,0.052805851,0.04844037,0.051578575,0.04663652,Cytosol_2
ACTR1A,0.197682655,0.212592366,0.110699139,0.104656552,0.05570373,0.057522627,0.058432076,0.056919243,0.075737834,0.07005378,unknown
ACTR1B,0.216897574,0.240821138,0.101944931,0.103248192,0.049216798,0.051126035,0.058115501,0.052678327,0.063336847,0.062614658,unknown
ACTR2,0.184899806,0.200190274,0.101625041,0.096148242,0.068472839,0.069741331,0.062190377,0.06020193,0.077120867,0.079409294,unknown
ACTR3,0.185619432,0.187981173,0.089056984,0.084215835,0.076063204,0.076718776,0.067885359,0.06801143,0.079517566,0.08493024,unknown
ACTR3B,0.154879484,0.165105846,0.118409157,0.074663528,0.087926241,0.085640448,0.063285741,0.063558672,0.084941064,0.10158982,unknown
ACTR5,0.072185985,0.070181831,0.105272747,0.096518238,0.111075684,0.103815181,0.070427796,0.076066757,0.143169479,0.151286303,unknown
ACTR6,0.123917317,0.15462289,0.106343066,0.10076921,0.119294876,0.113963362,0.063322952,0.063610171,0.070718857,0.083437301,unknown
ACTR8,0.085174773,0.0842257,0.106743786,0.126190817,0.102061099,0.102875868,0.076328701,0.074896139,0.119251844,0.122251271,unknown
ACVR1,0.079646851,0.085478429,0.032214972,0.032369111,0.090085461,0.09363065,0.187329805,0.178783675,0.107503126,0.11295792,Plasma Membrane
ACVR1B,0.053396103,0.047417458,0.05563362,0.045457393,0.097797388,0.103937135,0.165674701,0.151712595,0.144212439,0.134761167,unknown
ACVR1C,0.067849023,0.059373339,0.049930749,0.04369376,0.114173468,0.08529691,0.186064339,0.17972282,0.103345848,0.110549743,unknown
ACY1,0.183048348,0.187584681,0.133628895,0.119659732,0.065412386,0.06580685,0.06109901,0.056425472,0.06852522,0.058809405,unknown
ACYP1,0.328448497,0.318745593,0.069482725,0.067928338,0.041079097,0.039043972,0.033699763,0.034380809,0.032594064,0.034597141,Cytosol_4
ACYP2,0.214395237,0.234409918,0.097202512,0.103131882,0.052907593,0.057719599,0.094927004,0.082766495,0.035380475,0.027159286,Cytosol_1
ADA,0.297263083,0.282755652,0.096226718,0.096412386,0.038686483,0.039049379,0.043159396,0.040745711,0.033614367,0.032086825,unknown
ADAL,0.197864898,0.210393254,0.137526191,0.156704012,0.065810663,0.055620011,0.049325529,0.045870924,0.039385963,0.041498554,unknown
ADAM10,0.049980816,0.04854905,0.038564116,0.040632223,0.123524953,0.121335192,0.174881388,0.166702539,0.11422315,0.121606573,Plasma Membrane
ADAM12,0.050208911,0.040348331,0.057140344,0.059831992,0.120314905,0.121220917,0.125100057,0.133500462,0.131336588,0.160997493,unknown
ADAM15,0.065438124,0.059563016,0.044318752,0.050266843,0.115723213,0.114199699,0.153208959,0.150663687,0.117794098,0.12882361,"ER, peroxisome"
ADAM17,0.060260706,0.056654034,0.049477307,0.056544186,0.119450395,0.118104758,0.163755698,0.164176782,0.102314128,0.109262005,unknown
ADAM19,0.026005308,0.029504799,0.031613583,0.031586315,0.104366638,0.099485529,0.196135108,0.17604712,0.145769706,0.159485893,unknown
ADAM21,0.042278188,0.039493502,0.059835721,0.060448702,0.1396809,0.138087148,0.132482749,0.12872605,0.132290098,0.126676941,unknown
ADAM22,0.055698256,0.047325492,0.030039205,0.033085485,0.11626335,0.112838538,0.204091749,0.190969312,0.099256455,0.110432157,unknown
ADAM23,0.024978639,0.024324177,0.108040795,0.133228498,0.072927082,0.078653626,0.091497446,0.124429618,0.177677387,0.164242733,unknown
ADAM8,0.049439862,0.050861247,0.040668425,0.047625727,0.118386355,0.111662833,0.159961847,0.154940246,0.123810058,0.142643401,unknown
