,Map1_01K,Map1_03K,Map1_06K,Map1_12K,Map1_24K,Map1_80K,Map2_01K,Map2_03K,Map2_06K,Map2_12K,Map2_24K,Map2_80K,Map3_01K,Map3_03K,Map3_06K,Map3_12K,Map3_24K,Map3_80K,Map4_01K,Map4_03K,Map4_06K,Map4_12K,Map4_24K,Map4_80K,Map5_01K,Map5_03K,Map5_06K,Map5_12K,Map5_24K,Map5_80K,markers
Q9D7S7;Q9D7S7-2,0.043090789497075524,0.0645464080638565,0.0941494373433357,0.09367655686121092,0.16778901708414043,0.5319194325434199,0.04624273346251611,0.059789159303834494,0.07083607402535076,0.15726120424525752,0.25215551723524826,0.7980124797781344,0.04865691276599513,0.06677214627295504,0.10633588736200215,0.13532381646548503,0.23745355638121907,0.8427227960391815,0.06147801816856573,0.08595580523012913,0.09055661232689183,0.14893601891521874,0.273844020550745,0.6018204120815612,0.0,0.11344864980178113,0.07960925139108618,0.11515706387441953,0.28742600131553125,1.0,unknown
G3X926;Q9JJ80;S4R1Y5;S4R2H5,0.752368887762857,0.02132860400304029,0.0029743602736255403,0.003627767925006338,0.008062325817076277,0.02772536103369649,0.2532100329364077,0.020199645300228032,0.0,0.004338332911071715,0.010275145680263506,0.18364327337218167,0.5020977957942754,0.08684570559918929,0.004256751963516584,0.0,0.0,0.1555459842918672,1.0,0.032771218647073753,0.0033560678996706365,0.0038476311122371517,0.04075449708639476,0.04439016974917659,0.23662528502660257,0.010268051684823941,0.0,0.0,0.03482797061059039,0.023212566506207247,unknown
A2APY7,0.03961325045843163,0.6954704579552766,0.9319497035078944,0.07189159581815155,0.0,0.0,0.034776499726131796,0.8625657879069301,1.0,0.025662641994713156,0.0,0.0,0.03847848348455621,0.48730680383891783,0.6916958395846733,0.09463456454954634,0.057147960277202266,0.0,0.0,0.5584530018337266,0.8393465266366608,0.14748398466338053,0.0,0.0,0.032646281346002747,0.610214093496226,0.8181753232835597,0.030294586935295676,0.0,0.0,unknown
O70496;Q6RUT9;E9PYL4,0.055278722847422176,0.16525516880397748,0.6147605338916516,0.8840094216173785,0.6781994242344934,0.24927505888510895,0.0,0.13908400942161692,0.44695629416383226,0.5630986652708722,0.4312588327662918,0.07432085841402772,0.0,0.18468987176131968,0.6501962836953675,0.7147343627322694,0.3301753467678616,0.2800261711593829,0.0,0.16941638314577384,0.5617377649829888,1.0,0.8526040303585453,0.4244124574718661,0.0,0.2847003402250724,0.6092122481025907,0.9939282910232933,0.6359068306725993,0.28269562941638354,unknown
Q8K2V6;Q8K2V6-2,0.15594979483466112,1.0,0.3691085364872481,0.5314184568348217,0.40292863464478307,0.19549440823879702,0.18650736181511027,0.8588382009815764,0.3939697481696038,0.5073215866119565,0.47320782041998577,0.0,0.0,0.9572371067664336,0.6111513396089789,0.44070319414273146,0.45796121972805565,0.0108025585324644,0.0,0.7659908279024868,0.745232923002655,0.40578485799340314,0.2914635127524336,0.0,0.0,0.5356826776088187,0.5113042079008775,0.4146753560222065,0.3691889934829837,0.0,unknown
Q8BNU0;Q8BNU0-2,0.1029952576950605,0.6267895490336429,0.344152648532569,0.3411104151753758,0.20225706871868226,0.20162177881173957,0.12221948818897653,0.3037535790980667,0.1793239978525406,0.2584108804581243,0.1860795454545455,0.2238725841088039,0.010279840730135962,0.5854509663564774,0.2371152469577661,0.17786998926270567,0.36457587687902565,0.1157994810307799,0.0,0.9253981746599845,0.7980270221904072,0.2339835361488897,0.5121689334287757,0.0,0.0,0.6949042591266991,0.5853838582677158,1.0,0.43284717251252663,0.08037535790980667,unknown
Q9D2V7,0.2286275128962955,1.0,0.7130822491397082,0.4593112312026165,0.21338370898091752,0.08382060877345077,0.15950872663917096,0.8166311655000675,0.27914165657953455,0.2465996899534009,0.1788981804382568,0.09256894566613386,0.0,0.43099339558271305,0.5767097574194664,0.661561700473564,0.1854536624369953,0.04485242317390581,0.05337454977226626,0.7004329388041132,0.7122974379145067,0.4864564665213384,0.30341540612134293,0.1030531003274967,0.06218751817761295,0.44345804445355375,0.6714410888378609,0.46152716877965483,0.4100066201135117,0.025732575113359038,unknown
O89023,0.06205003112911943,0.1695363292134026,1.0,0.540421927147653,0.28765347676542896,0.07024260300676666,0.0280325375845844,0.34270609008052716,0.6643872666591807,0.563937170209942,0.3358270649833119,0.09652170363036931,0.0,0.34277753396135824,0.4995560273119737,0.5617224099041618,0.25370742710172567,0.13446758999377392,0.0,0.3741924289898846,0.7838414354096275,0.32744771838863357,0.20136968125822807,0.07999673399401898,0.0,0.22910011328958169,0.643505240918971,0.37947927617142374,0.14361240674021938,0.09521734249175826,unknown
Q64373;Q9QWX2;Q64373-3;Q64373-4;A2AHX9;Q64373-2;A2AHX8,0.041125868071545675,0.5774494814596494,0.485843756332087,0.2808775581630961,0.09848029915080961,0.060964871884613296,0.1594654337134122,0.840109050048815,1.0,0.3823198924236007,0.12828301434966,0.06481846482583313,0.09055943411866561,0.5764916094092509,0.9216202774144818,0.3737727264354265,0.09761268812054452,0.09763295079853371,0.0,0.7589478143938692,0.9550721167130254,0.3659255438686974,0.20380569933869952,0.0341610330281651,0.13088584744045548,0.7165988173964305,0.9039549063311663,0.3074585075616625,0.17732790539171475,0.01939138283566968,unknown
Q99LG0;D3YVU1,0.03682377480528921,0.07659835046022516,0.04568574545037029,0.031373787243814164,0.05202747957211469,0.6084926421340675,0.06654036779761567,0.026352450389421488,0.009350517634001158,0.02200853474175705,0.06210077118854884,0.5239106722544342,0.0,0.04272920374303917,0.0835103431119273,0.01690835677516885,0.05277570469028086,1.0,0.0,0.016841380102187224,0.004559771896588023,0.03193447767763166,0.06130087835122554,0.9582639646363164,0.0,0.03547084601106068,0.0,0.0,0.05480796831046544,0.47597451059188056,unknown
Q9D945;D3YXW1;Q9D945-2,0.10683894284067211,0.02949314886257812,0.01145292891667773,0.05670812824264988,0.13796505698195197,0.4890470489113562,0.30734778945501295,0.043445966919427065,0.03400846969092278,0.03252073078799165,0.14936144738592494,0.6320229701565321,0.2655536339851888,0.02741341847368186,0.008431555141678844,0.04527626269345035,0.11141412797658616,1.0,0.35799964524854755,0.021542281938716653,0.008619462551549814,0.02853199414660101,0.02653319143275239,0.7897986785508398,0.13855261407476396,0.014664538157953075,0.0,0.0,0.060766706576204754,0.34194714203361226,unknown
P97432;A2A4N7;K3W4P1;A1L329;A2A4N8;Q05BC8;A2A4N5;F6S397,0.0,0.2660425358705605,0.3446168718835859,0.5343441538618093,0.39289712017909867,0.31906990943319385,0.052086089345680285,0.35138903022285517,0.4129642820799838,0.7427495675180631,0.6437875241681078,0.6289813778365729,0.0,0.1414317696143277,0.3627404090770332,0.6223160679759847,0.9079067874224077,0.7066754859061775,0.0,0.36176350870051854,0.5069909433194265,0.70301210949425,1.0,0.4112394423527012,0.0,0.2551032868627254,0.4943217665615145,0.8174417421390043,0.7779078050269662,0.5945354635188761,unknown
Q9EQQ2,0.3265159699830226,0.2929575232239469,0.4136135919009222,0.5731882818659244,0.9338216584421709,0.8452640668082149,0.08303890610726229,0.07330925078525528,0.4339905977950288,0.2695980077670394,0.22740488297299935,0.16108054444356357,0.15905744355131346,0.1250505775223063,0.2731436485060339,0.33335697093826,0.285678531353893,0.17317743637660601,0.12622898165026664,0.13256942155999826,0.4020172610133854,1.0,0.28720107120063737,0.2869925040983439,0.4103182316846805,0.0,0.19030079547492795,0.1836892183322137,0.19069707296928637,0.5073019342513063,unknown
Q80XQ2,0.0,0.024808426788624858,0.034514802831634585,0.16690831245286708,0.2058749118155062,0.09422726056389436,0.0,0.07792346802247808,0.10889386235920924,0.5822366020385821,0.4106113314034113,0.4442309095774448,0.0,0.03820760454423824,0.11127301919381145,0.431508015666432,1.0,0.21007857542511027,0.0,0.05053883766755062,0.037482667185637565,0.11036806383341076,0.27567081032427593,0.09139076069769145,0.0,0.050478020775050536,0.026229109397426262,0.3241297102683244,0.4084705767874093,0.31189335149731257,unknown
Q9EQC4,1.0,0.5024558023726556,0.25478552053468745,0.3519953110304377,0.29817666328927633,0.46624350836699413,0.2681663493736683,0.19462858544874675,0.4580196373318312,0.571813477152632,0.5463694562703616,0.15800736967890505,0.11163336983338676,0.17731756409848623,0.3388870967009099,0.5414623951002093,0.24569837021959126,0.2533315764842729,0.21557446692504498,0.06538886187985836,0.0,0.5796057085478284,0.3405682195092036,0.18338323693381378,0.9276662834918291,0.027211471618557814,0.3384554570609434,0.4989799673771302,0.22584294678110398,0.12171101953283034,unknown
Q91XB7,0.2605070046697798,0.38342228152101443,0.6913656723529972,0.8041075002382547,1.0,0.7706089774135142,0.2951014962355857,0.14124654531592545,0.3891880301153156,0.6952730391689703,0.7324406747355389,0.6498379872295821,0.26141237015153035,0.23401315162489236,0.3183312684646905,0.5045268274087492,0.3771800247784239,0.5815781949871341,0.14833698656247016,0.1111407605070047,0.18676260364052238,0.3610502239588296,0.20606118364624063,0.3403697703230727,0.417039931382827,0.0,0.13883303154483978,0.30251119794148545,0.2814971886019247,0.5001906032593159,unknown
Q9CZU4,0.15413301071060037,0.3282105113333102,0.40308863822367824,0.1646158773084731,0.5687649005444274,1.0,0.04848592676938419,0.18993701740027816,0.1151158239333884,0.0,0.1069494360032739,0.6380457602391215,0.03947265416503584,0.1215137173967193,0.22555599046365185,0.04429420346582228,0.10750453688218332,0.043383268690175524,0.0,0.2624879906059854,0.3380920186456971,0.050030245881222776,0.0,0.5904707682453842,0.0,0.19205422908586323,0.34353627726577307,0.019457709141372872,0.08086681137245141,0.5916094367149426,unknown
Q8VCG3,0.8340020599855521,0.1497102184507066,0.0584082768374611,0.05987025165644371,0.22799735583944464,0.6315393011422171,0.5868499131424018,0.031420928838260434,0.0,0.025563805746437334,0.015202693354240654,0.227290196621009,0.8171839690079777,0.07183507817183951,0.0,0.02215868037940632,0.07862688127411663,0.16367661301480455,0.9752801734077405,0.05780411689649355,0.0,0.042872296268966575,0.058457470522221826,0.2692431859060098,1.0,0.04963950252886295,0.08957401343602514,0.0,0.0641762363756554,0.22871988808436758,unknown
Q6PEV3;D3Z0K7,0.21601441812564334,0.4831101956745623,0.633573635427395,0.6211809131479572,0.40254033642293136,1.0,0.14949536560247223,0.5617233093031241,0.30125986955029177,0.3913491246138005,0.46683831101956696,0.41678681771369763,0.18282869893580436,0.501373154823206,0.4072777205629932,0.8351870923446618,0.9940954342602134,0.4104016477857886,0.0,0.5102300034328875,0.3248987298317893,0.7520082389289388,0.7292138688637143,0.22069687607277785,0.11793683487813249,0.5841400617919666,0.5269138345348438,0.9800892550635091,0.7365602471678685,0.3285169927909367,unknown
P55288,0.0,0.14209537929330446,0.5189523103533487,0.4720138374104276,0.25604645416357835,0.14609340252038594,0.0,0.6479861625895735,0.7438596491228071,0.9745984680009895,0.8668149246355333,0.3563825055596743,0.0,0.4420509019026445,0.5678280207561154,0.7295774647887335,1.0,0.48620706696318244,0.0,0.2257178156659259,0.5917469730664696,0.5353595255744996,0.7085248332097853,0.47264146281196034,0.0,0.0,0.49313565604151305,0.9706943414875225,0.6220410180380535,0.4724091919940699,unknown
A0A0R4J0A9;O88572,0.0,0.16562957923382796,0.2755390412392702,0.43437303747121464,0.24408362989323776,0.1891720745237586,0.0,0.46805003140045887,0.5395645802805088,0.5845980741050842,0.3907787314213923,0.0,0.0,0.0,0.278129579233828,0.5175057567510971,0.5080332844881703,0.22121886120996306,0.0,0.2054427464936143,0.3518944944525838,0.6952846975088937,0.3996755285744173,0.06780144442118456,0.0,0.08865396692484828,0.2113852836508261,1.0,0.7999267322587365,0.11794012978856987,unknown
