,n113,n114,n115,n116,n117,n118,n119,n121,markers
P27659,0.0003229771154887186,0.0003405696017712444,0.00022496017354682913,0.0006109396943839005,0.0004818744252209259,0.0004973851782288701,0.0009513445905137703,0.000396187408600026,60S Ribosome
Q02248,0.0018541557104702544,0.0009070650662148905,0.000670898283652329,0.0005185603780143998,0.00027606939889736023,0.00016535505439893404,9.395003888453571e-05,3.428452030336723e-05,Plasma membrane
Q3V3R1,0.00016201766765103066,0.00015827505032274338,0.00016318686764751685,0.00038660912408003883,0.0014086917928025045,0.0008148572493315198,0.00029284885770957937,4.185575249543453e-05,Mitochondrion
Q9D8E6,0.00040046783522838905,0.0003568514101057683,0.00042472446029949445,0.0004830493829185093,0.0004339840199631424,0.00038328752830893756,0.0013568074612579754,0.000305802616111318,60S Ribosome
O35129,0.00018136547579875032,0.0001627707152944824,0.00016979888359943632,0.00040525034017414337,0.0013673451976212627,0.0007971110548774161,0.0003193426557164202,4.928425674528496e-05,unknown
P05064,0.0005212367210052543,0.00040476217679504515,0.00018257007886479703,0.0002401533679214475,0.0001122213565793798,8.637271374642568e-05,5.623649262813166e-05,0.0018525418475907132,Cytosol
P09103,0.00027118912452965863,0.0004947682142675919,0.00036649153917569187,0.0010769675889028536,0.0007103300425360715,0.0006157042346517413,0.00014750980619266304,4.1766562366924194e-05,Endoplasmic reticulum
P20029,0.00042901247536431556,0.0005299230104008972,0.0005000643496323331,0.0009770775905480196,0.0007003314297513712,0.0005321004094313326,0.00019261105455917223,3.282812584994606e-05,Endoplasmic reticulum
P47738,7.254051080810067e-05,8.541761545397844e-05,9.657560186432818e-05,0.00037002457583668594,0.001479405606262883,0.0008980495481027994,0.00030490504934383724,2.475617949776698e-05,Mitochondrion
P51432,0.0012104376276459528,0.0012615534913658498,0.00044467123649109217,0.0005949413484101124,0.0002843102888828296,0.0002118565650155875,0.0001061062005563187,0.0001279708868919943,unknown
P68040,0.0003702272969364683,0.00031900053278215975,0.00016892949433835002,0.00045040919884749904,0.00043927258836336827,0.0005345281896600015,0.0010955712451690535,0.0004498159924209405,unknown
P80314,0.0004563410291971257,0.0004067863894081119,0.00022677411767266597,0.0002715489467477921,0.00018642573299102187,0.0003704364251228302,0.0004718247588877832,0.001254172784249826,unknown
Q8K2B3,0.00019189475613878853,0.0001822926340676676,0.0002178375814242503,0.00041864826926251445,0.0013445263985276386,0.0007973204846708949,0.0002916403175466196,4.3956646890742725e-05,Mitochondrion
A2AQR0,0.00016699599096190625,0.00017843800792974792,0.00017989196676379936,0.00043600587784226546,0.001308481266020548,0.0008569328010143657,0.00028920791770227565,3.486279778080775e-05,unknown
A2ARV4,0.0008446730626200456,0.0013229897547716366,0.0007143729941346479,0.0006213221110267539,0.00024689563175301114,0.0002427986372195146,0.00020984350874346695,0.00017156353154410207,unknown
P09055,0.001253569410187123,0.0010208777539970739,0.0007709730454235706,0.0006841506699858886,0.00033459745950054374,0.0002304855463696647,0.00013004335480327404,2.9843037496673124e-05,Plasma membrane
P16858,0.0002795927592008303,0.00024252604239970247,0.0001306240292222894,0.0001774022798472743,8.840401121341242e-05,0.00011570662319705044,0.0001651762286075784,0.0021146822395940726,unknown
P20152,0.0005326759776371552,0.0003784567623272676,0.00029684027175381843,0.0003356848776049293,0.0003241582630445573,0.0007565965272865718,0.0007297284279304107,0.0004881970744562493,unknown
P25206,0.0002765299235872307,0.0002130840429631391,0.0002526159609528025,0.00022817849742963987,0.0002206515337408191,0.0006184613737591762,0.0006272201525065517,0.0011662402658835602,unknown
P26231,0.0013845381576325956,0.0009029748256965505,0.0005103136946908825,0.0006480118821268374,0.000383228160538385,0.0002086384314872127,0.0001501874314944777,8.670624995859601e-05,Plasma membrane
P26443,0.00011533112510965183,0.00011621111027730976,0.00011776147808910104,0.0003945239822351537,0.0013955481360911448,0.0009031293023520039,0.0003243754773181679,1.2859572108995344e-05,Mitochondrion
P62908,0.0002808953004833123,0.00026615310648640903,0.00027135564570907977,0.00039860086010384853,0.00037824032307661473,0.00037804010000865626,0.0016765606474734537,0.0004196912459476012,40S Ribosome
Q01853,0.00027791940918381894,0.00033377095838788625,0.00027486742748652126,0.00035567199955076703,0.00018748485890106837,0.00014025315935943205,8.750580497077676e-05,0.001791754925912079,unknown
Q02053,0.00021929177717193776,0.00025609460731689025,0.0001435839227591481,0.0001737715254378253,9.789094718135269e-05,0.00010160594067839066,9.795417499024455e-05,0.0021892483481784418,Cytosol
Q61316,0.0001552425597501639,0.0001867788582938134,0.00010294886459519943,0.00015808444263737867,8.063053973764842e-05,6.514394957052346e-05,5.5050541476650284e-05,0.0023801404696860615,Cytosol
Q61656,0.00028330670149855476,0.00032625022955160926,0.0001884998685741888,0.00046860432466471554,0.00036473561250208734,0.0005216340636640262,0.0010008031658594206,0.000621155188648477,Nucleus - Nucleolus
Q61739,0.0014351450471858738,0.0010044146591845296,0.0005035437889062882,0.0005917885540507433,0.0003321306022375153,0.00026887923840497564,0.00013124260015140581,3.542036846119155e-05,Plasma membrane
Q62351,0.0007196572369411459,0.0011221953490710174,0.0013478848041482945,0.0008702153849580588,0.0003514853137583976,0.00018486566419994592,0.00011841807794173758,3.2341480779261286e-05,unknown
Q64737,0.0003705637549256593,0.00035378047737191917,0.0002119573606594148,0.00017268010569272286,9.633109980486891e-05,0.00012396549086356052,0.0001477844234795197,0.0019579240346671717,unknown
Q68FD5,0.000710413464330367,0.0004999080499219053,0.00048115630395289963,0.0006251134577853646,0.0004628959799677896,0.0002641513700902547,0.0002754846062427921,0.0006187312656274948,unknown
Q6ZWN5,0.00045187201387798375,0.0004007672236410476,0.0002024634004484392,0.0004901170462186108,0.00043060199754785716,0.00040237365386891987,0.0009255219124731917,0.0005386518197764112,40S Ribosome
Q78PY7,0.0004607044058625105,0.00041129236827507683,0.0005415090445851876,0.0006150994347575703,0.0005820682934278833,0.0005157325244916703,0.0008546770935483909,0.0001222801400361842,unknown
Q80X90,0.0007376732115185697,0.0006357741035512744,0.0005807928377541126,0.0005125226010266811,0.00036192538217461647,0.0004077151643488904,0.00035953821446301626,0.0004842802615170822,unknown
Q8BMK4,0.0003617027458522441,0.0004226960323909206,0.0005206072531328443,0.0008338616171549826,0.0008109505566267644,0.0006097585807768522,0.0002440114497127082,5.628994146346128e-05,Endoplasmic reticulum
Q8BMS1,0.00014371599583861414,0.00017628202660324399,0.00015874228424590033,0.0003902411592600816,0.0013405076991988944,0.0008302244217531512,0.00036961726502584,4.233426940024768e-05,Mitochondrion
Q8K3F7,0.00011142436509252503,8.910121155949066e-05,0.00012454664252926394,0.00035931278255816685,0.0014755159419296204,0.000872266014333658,0.0003436024082256729,4.893001242867865e-06,Mitochondrion
Q8VDN2,0.0015224255997493552,0.00087879660100585,0.0005318227927552767,0.0005869917370375387,0.0003695387795241489,0.00028838463380585197,0.00012264012909504306,1.493247586933003e-05,Plasma membrane
Q99KI0,0.00012526810148947985,0.00013566274958717092,0.00020035833814293716,0.0003807223083476523,0.0013820973114864927,0.0007970246165514793,0.00040068658216289935,5.40137242972947e-05,Mitochondrion
Q9QXZ0,0.0006107053520781445,0.00043390580448535306,0.00038530000017413565,0.0004795498366830896,0.0004668636057532398,0.0006105369519992175,0.000503250860538701,0.0003978242465688046,unknown
P02468,0.00045463176219464544,0.0004593701008590659,0.0008612568646607846,0.0007584813924618684,0.0006897249141237827,0.0004670188344940521,0.00042118714546962984,9.860429744632101e-05,unknown
P10852,0.0014323458444686073,0.0010155183471891906,0.00038251182754856183,0.0006354061671212099,0.00035337857052634975,0.00029203683324350655,7.886849335044604e-05,1.0985220592983615e-05,Plasma membrane
P14148,0.0004178764448509895,0.00040250497305226884,0.00029574355692456176,0.0005363524281530206,0.00045345062996169055,0.00044161353821363874,0.001081370673500625,0.00034131475657167917,60S Ribosome
P35486,0.0001365713590372471,0.0001509382662763583,0.00011715537163608143,0.0003851682797396952,0.0013626684386062122,0.0008539726503486981,0.000354878657536402,4.394649316237599e-05,Mitochondrion
P42932,0.00044594151480359883,0.00040546026478425627,0.0003683647699694119,0.00028982876249426543,0.0002108232990851676,0.0002327181274126162,0.0006694992208894216,0.0012012998306571868,unknown
P47911,0.00032007466913683454,0.0003315659345233771,0.0003183908668020746,0.0005384910988462196,0.00047559163301505734,0.0005374790297396654,0.001073110348350168,0.0003363502206956695,60S Ribosome
P63017,0.00021071293990961726,0.00021288122259599158,0.00024277343059283765,0.00021220601180142024,0.0001329411381972025,0.00016483897189031928,0.00016746736564338265,0.0020298459949387366,Cytosol
P80316,0.00032682475547533184,0.0002843992877481418,0.00025194359621503017,0.0002521032585974696,0.00018283768914375553,0.0003253133553260817,0.0008300547639502534,0.0012618975486602452,unknown
P98203,0.0016412068700726815,0.0008034972521728084,0.0004785896390948838,0.0004353385176830756,0.0002567358807000743,0.0002118968685316684,0.0001801781883778064,0.0002824112896603344,unknown
Q03145,0.0009782471914890234,0.0010720400336059193,0.0007312912973439215,0.0007816558307342879,0.0003573294405437813,0.000225442077810385,0.0001447760710630433,7.01146790819397e-05,Plasma membrane
Q8VEK3,0.00029856028507499737,0.000312513852202765,0.00019015906704635834,0.000389164390723249,0.00029844064141478237,0.0006236511014771398,0.0008826394776176611,0.0007249005392286508,unknown
Q91YQ5,0.0002890753497638231,0.0004014720560458541,0.0003697789625108064,0.0009755103645273187,0.0007562406559151952,0.0006793239217268553,0.00022495449156545428,2.9008214489410652e-05,Endoplasmic reticulum
Q91ZX7,0.0005675347419091425,0.0011460893891129052,0.001245747456195058,0.0009825152341492768,0.00031663889299906694,0.00020642259582393633,0.00010857794232448597,5.972476388490014e-05,unknown
Q9JKR6,0.0005095900883689206,0.0005612176673455542,0.0006541356933536056,0.0006539616389765036,0.000572783870995292,0.00044694432733024386,0.0003310203157750091,0.00031988393813345517,Endoplasmic reticulum
O70133,0.0002413051235545398,0.00023365323396478435,0.00023026577005011266,0.00025556658543413643,0.0002781576143718255,0.00044409811319845726,0.001340433762366373,0.0008368654127308622,unknown
P09405,0.00012157420715766766,0.00014489264285039483,5.860596738737816e-05,0.00017472673297250796,0.00015951095099920833,0.00025007486986277174,0.00018079726656945478,0.0020956276901539193,unknown
P12970,0.0003871021129210527,0.00040053086410535293,0.00023962392454287063,0.0005567539183837767,0.0004488148277765228,0.00041119769958031347,0.0008234625906299571,0.0005497767358578443,60S Ribosome
P14206,0.00041335516802812507,0.0003248507075556541,0.0002607385683584292,0.00039136952944206704,0.00033710904715100726,0.00034688562820842274,0.0013635946046839159,0.0005632152027136882,40S Ribosome
P14733,0.00014859110410936227,0.0001719607199396531,0.00021613016032453707,0.0001880452450477367,0.00024932198050824344,0.0017149571969877896,0.0009233087691861391,4.5197006180747863e-05,unknown
P17182,0.000308256741669254,0.0002788240985041805,0.00016952256421242376,0.00012732156995775223,6.513862469683804e-05,9.874621055521133e-05,0.00014702898667897624,0.0021543130483360545,Cytosol
P23116,0.00021111084745785533,0.0002640243047407793,0.0002792832617320886,0.00034564089616086034,0.0003143835419398142,0.00036249730289938524,0.0003683600479853305,0.0013820975582309381,unknown
P37040,0.0006917898162543491,0.0006784448403490683,0.0007756601334344161,0.0007901249916242792,0.0004944761913540686,0.0004224086048081084,0.0003178409391038227,8.112486993057872e-05,Endoplasmic reticulum
P51660,0.00036066809112708583,0.00033716949120344577,0.0003374162725872038,0.0003988565729314594,0.000534044111698011,0.0008859551564860198,0.0010180897751555196,6.052692050032158e-05,unknown
P54071,0.00011573526764031796,0.00011955842549561956,0.0002439939507382726,0.00036756518499817247,0.0012961351304878529,0.0007945218067473645,0.00047333987512209,0.00011208080205695294,Mitochondrion
P54276,0.00010314583961680499,0.00011760872249605665,0.00012348727165830924,0.00015194076466787404,0.00017572816077174704,0.0014237272772648082,0.0005923150901645494,0.000721441034865846,unknown
P62702,0.000364019004697573,0.0003183985470124636,0.00026682613976735525,0.00040209679527773294,0.0003779652301139662,0.0003888818647354385,0.001331045172915713,0.0005284200339234213,40S Ribosome
P97351,0.0001306347744097045,9.753398426130254e-05,8.438785262353959e-05,0.00012723754743859913,0.00017485409808462788,0.00033252500201897447,0.0024729724824118886,0.0006665842683952993,40S Ribosome
Q04447,0.00020968669842134438,0.00027584061548673717,0.00016972404952485116,0.0001315583529245076,6.080014120376708e-05,4.858032207046197e-05,7.211665377841141e-05,0.0023142289594159436,Cytosol
Q07113,0.00042422293010932515,0.0010945975341694792,0.0016738332387308285,0.0011110001129171737,0.0003419269936830236,0.00012672438625720297,7.334713057484724e-05,4.5323514898065685e-05,unknown
Q587J6,0.00024085324575119995,0.00022555526577960582,0.00027915285435296046,0.00031919840649073113,0.0004421452317282951,0.0011124831389486601,0.0010307490634129755,0.0001573676495029772,unknown
Q6P5E4,0.0004512912630141434,0.0005480492748888368,0.0005283582699133248,0.0007066841325206887,0.0006358695548042215,0.0005795941972489194,0.00029787441126907685,0.00018292583659979128,Endoplasmic reticulum
Q6ZQ08,0.00029613347670285164,0.0003011702820718013,0.0004757449033306352,0.0002985695247457886,0.0002702886394923196,0.00034439057752852487,0.0020316901508803296,0.0003405359563586894,unknown
Q7TN89,0.0016548407888647173,0.000890096405514731,0.0006539078176135226,0.0005048473779916081,0.00027509677168920766,0.00017851684839699218,0.00019835771987411133,0.00011393815068685605,Plasma membrane
Q8BFR5,0.00011576765874068722,0.00012273438076867085,0.00023717779129991227,0.0003606499604235405,0.0013136543755931003,0.0007579520731534247,0.0006543251048995802,2.614930913782314e-05,Mitochondrion
Q8BH04,0.0002595441789682359,0.0002898469156179699,0.000344618101347944,0.00044737352452771357,0.001119798896554021,0.0007055797848459228,0.00037346109749344513,0.00012359388400056328,Mitochondrion
Q8BK67,0.00017479414238017848,0.00017873309744443784,0.0002263400403516445,0.0002475143680536976,0.00027279939344265996,0.0012095317547205803,0.0010531931575085932,0.0003604928994858905,Nucleus - Chromatin
Q8BMF4,0.00020438447102479832,0.00020291924469022357,0.0002033331865937993,0.0004131165984901847,0.001309240344120219,0.0008113388398742965,0.0003231310225130023,3.0815006222091e-05,Mitochondrion
Q8CGK3,0.0002031120351282899,0.0001877465163416862,0.0003106570871571504,0.0003862569870836122,0.001266359292698886,0.0007958600971400468,0.00038275564343913523,5.84154786317999e-05,Mitochondrion
Q925I1,0.00023309298479940932,0.0002485349821356549,0.0005207324820039926,0.00043369261321325807,0.0011704700493310354,0.0007668902284556691,0.000309318551920545,6.843326695831804e-05,Mitochondrion
Q99JY0,0.0001402303685524397,0.00016435883592140512,0.0001836972468382726,0.00040391845164502007,0.0012944781860506562,0.0009144312458326089,0.00027779928208280743,5.279414925752108e-05,Mitochondrion
Q9CZ13,0.00011003978206737039,0.00011176456894891185,0.00010567588020604285,0.0003674163347565514,0.001425692361650839,0.0008928740264862785,0.0003210934163014666,2.8879894015699994e-05,Mitochondrion
Q9R0P5,0.0009231230597031817,0.0008673120862754687,0.00048196578032450905,0.000672355830547362,0.0002444759819109443,6.791152231898383e-05,4.727541968464714e-05,0.0007243598324309594,unknown
Q9WTI7,0.0011792701509951715,0.001188897907402013,0.00046840868052388466,0.0006706596052029855,0.00028507354165410167,0.00022971875967768465,0.00013259877456855344,9.320881593425687e-05,Plasma membrane
Q9Z110,0.0004190790885153876,0.00032713987862866944,0.0004511245842893807,0.0004015195655861344,0.0009904844736095375,0.0006025917963805011,0.0004497996114026929,0.00018598922598979546,unknown
O88477,0.0003644122333570816,0.00024850079285714894,0.00036580177450851436,0.0002731114109291058,0.000272069165625229,0.00043618698989849025,0.001868603132599826,0.0003910819565381922,unknown
O88569,0.0002832942163140506,0.00021854325622330413,0.00020956710491972422,0.00019255122416821265,0.0001672226314728414,0.000462271819482924,0.002290564063182663,0.0003895586876000622,unknown
P05201,0.00023280565906208978,0.0002539265902964653,0.00014211821368839263,0.00012508171394052243,7.268089310918164e-05,4.838623172005052e-05,6.177154905496193e-05,0.002322310577402014,Cytosol
P05202,0.0002928237922361563,0.0002676470790255057,0.000195587518244805,0.0004147556817619145,0.0012204523624723788,0.000755770379028419,0.0003512120155767746,5.145954064474804e-05,Mitochondrion
P06151,0.00036705504450681764,0.00033171964349746865,0.0003981772075068244,0.00022083272663127472,0.00010211914282393863,6.529165248420854e-05,7.674092329356026e-05,0.0019827901473138537,Cytosol
P11499,0.0004223338083766508,0.00037557197183100716,0.0002447853724402527,0.0002135575087093995,0.00010781319865037117,8.484564210072561e-05,6.585886456495835e-05,0.0019433573807443364,Cytosol
P11688,0.001503793908320016,0.0009796281698193723,0.0005954006720337695,0.0005731298159612901,0.0002801524946182577,0.00018775926477914917,0.00020353194307793962,8.671382770627873e-05,Plasma membrane
P13864,0.0002733720145227339,0.00021486982616474907,0.0003837443385898261,0.00022205813844759992,0.00021049242010624916,0.001543530141998527,0.0006873692413387712,0.0002123897384498713,Nucleus - Chromatin
P14211,0.000262527095749446,0.0004226515866668018,0.0003146788747326422,0.0010685026096741174,0.0007868726256676486,0.0006005126345770926,0.00016839052936026133,4.6718033394290346e-05,unknown
P20060,0.0007703205203631559,0.0008783713370044833,0.0015018971879776578,0.0009779856527939933,0.000390686238197362,0.00012698451538939462,0.00012945583013832071,5.123158446588572e-05,Lysosome
P26039,0.0005242005758692561,0.0005189166923090496,0.000763195396995352,0.0006247623744143196,0.0004922831999532484,0.0005185414829673682,0.00041645740398624307,0.0002932672597525123,unknown
P29341,0.0003069270937326384,0.0002714248363139763,0.0002360849538161209,0.00033074171271038497,0.00035378747636990055,0.0004660198676730784,0.0016339926636510108,0.00043017679048861423,unknown
P29758,0.00010080459241561123,0.0001242526958915767,0.00015088088016486972,0.00031044457962656164,0.0013298663239835146,0.0008654994226676386,0.0005264681985977966,5.695531164921873e-05,Mitochondrion
P46935,0.0006982405021403148,0.0006458223200849155,0.00038618338851794564,0.0003567362415764875,0.00016397911960106944,0.00011587066335430489,9.943659639905322e-05,0.0013162083718505873,unknown
P47962,0.0003396740239356389,0.0004714758440225289,7.508602836730782e-05,0.0005858099696001315,0.0004557264029713686,0.0004923622148027023,0.0008264702437591161,0.00045893217955658304,60S Ribosome
P50580,0.00033398100994127205,0.00027684370347130235,0.0002755056423526023,0.0003047214757270562,0.000271605541654426,0.0003335746064590419,0.0019253641110272886,0.0004516793997739043,unknown
P51150,0.0004588533014267171,0.0007549526641797674,0.0006720052449878522,0.0010266815660821833,0.0004451190169262939,0.00025602961769990475,9.7759598052366e-05,0.0003416529421652125,unknown
P62806,6.055251069312063e-05,5.885660639074572e-05,4.5353000956391986e-05,0.00013354840325798705,0.0001787648576228196,0.001926454598297193,0.0010011886235713,8.355315653973926e-05,Nucleus - Chromatin
P67778,9.505116841026977e-05,0.00011426201599019037,0.0002123359419138508,0.0003783401557755098,0.0014025171656281545,0.0008043421371992443,0.0004909181883022102,5.749548834913601e-06,Mitochondrion
P84099,0.00030984603080363635,0.0003735022367360017,0.0002619459794400659,0.00055421233176622,0.000500845492443957,0.0004845556805398603,0.0010194395742582096,0.0003741955697229029,60S Ribosome
Q501J6,0.0002760891921005802,0.0002596871478979344,0.00024446812881854,0.0003300799610538356,0.00027172712086538696,0.0003951112210062825,0.001599202784956298,0.0006250752516759978,Nucleus - Nucleolus
Q61391,0.0013248214680334923,0.0013668936897545832,0.0006232636651141286,0.0005455361420408872,0.00022578631563180418,0.00013699685254946168,0.00014735827459650333,8.336861360159433e-05,Plasma membrane
Q7TMK9,0.0003939136668054537,0.00029252256037572345,0.0002381107378937921,0.0002745698285777225,0.0002693213304393566,0.0004460064783616507,0.0014535390880932567,0.0006177706265640062,unknown
Q8BH95,0.00035052868835680674,0.0003411930796101289,0.00044728610021112626,0.00041494496145669506,0.0010706735580242165,0.0006654983090263108,0.00036124346334028646,0.00012551550757459009,Mitochondrion
Q8BSY0,0.0004013469433070767,0.0005172601880560315,0.0004763658834377122,0.000837392428013172,0.0006253653195565053,0.0006647274364350657,0.0002668116005023971,8.271649085371381e-05,unknown
Q8VDD5,0.000312219120736673,0.0002819155044214347,0.0008586588685223872,0.0003344381302167117,0.0004196606164848028,0.000796857698565731,0.0004910314694624273,0.0005731239528730337,unknown
Q8VDJ3,0.00042454822379497015,0.00038417123520095316,0.00039070056965820934,0.0005300500971208114,0.0005833474072525435,0.000577325690547152,0.0008884334405795625,0.0001931373992226939,unknown
Q99LF4,0.00041911625397318675,0.00040635447857100725,0.0003091085041345745,0.00039294750996755646,0.00032619065115715057,0.00041716070302153695,0.0011689585489781658,0.0005499117856283001,unknown
Q9CW03,0.0002859377999762186,0.0003014345899993675,0.00023777705803472822,0.00028913161997164963,0.0002690087737330923,0.0010517378074285184,0.0008554471317195951,0.0004429526778289834,Nucleus - Chromatin
Q9CZW5,0.00023393493018750646,0.00024086728029240926,0.0003911357663354761,0.00044794334634345507,0.0010642703303995248,0.000768208697169252,0.0005300364494777767,5.8761456073616985e-05,Mitochondrion
Q9D0R2,0.0003582355301892306,0.000419733976811851,0.0005633584982447241,0.00028138443774387113,0.00016875794270295542,0.0002066155824823435,0.00026425669335437667,0.0015186347223745253,unknown
Q9DBG6,0.00036380723805531825,0.0004245620743915695,0.00035956944253140845,0.0007181228742891948,0.0007472518011576028,0.0006612496124678672,0.0003285605213741845,0.00015238365049818884,Endoplasmic reticulum
Q9JKF1,0.0008969974364020728,0.0008538160996509719,0.0010308956862585266,0.000532943441019154,0.0002832369231154987,0.00017913876704208555,0.00022644382363523545,0.00048005241783186467,Plasma membrane
Q9Z0U1,0.001101499045216428,0.0007929305051480797,0.0008443680021843487,0.0005396826571316944,0.0003497074325098165,0.00029119744007620745,0.00039474704025185776,0.00015732958701029318,unknown
E9Q7L0,0.00024925341633826655,0.0002930627117752049,0.00024837595357018864,0.0003667028110959401,0.0011967812398388875,0.0007483953750271899,0.0003813923078555999,0.00010124084680753222,unknown
Q5CZY9,0.0003046452571188729,0.0002695618606864206,0.00023409077669892556,0.0004189360406948791,0.00039483692934922694,0.00041850317522093073,0.0014210573261556503,0.0004942449894123894,unknown
A2AQ25,0.0008714640571049851,0.000745949422734914,0.0007325191384594491,0.0005632361952898122,0.00041826019528108703,0.00040109911863212737,0.0004516353025119276,0.0001373621429406832,unknown
O35435,0.0003030097145520818,0.0004027886051709802,0.0002947840808747029,0.0004537676574605057,0.0009278535960504197,0.0007131963433995974,0.0003731211809890144,0.00019994390765366754,Mitochondrion
