Protein_ID,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,markers,DeepSP classification,DeepSP score,Curated DeepSP predictions
AT3G16460,0.12090518199999999,0.122801686,0.11403938,0.102924876,0.10311737800000001,0.101630995,0.09372171300000001,0.08679635,0.07816743599999999,0.075895005,0.132384513,0.113412294,0.105433073,0.095940297,0.097999781,0.090772158,0.102249798,0.09207386,0.085901755,0.08383247,unknown,Ribosome,0.4184197224676609,unknown
AT1G12840,0.325254532,0.188954016,0.098588638,0.079844586,0.062450778,0.056345043,0.044910091,0.060259357,0.040770647,0.042622312,0.322839004,0.20733576,0.119427155,0.09583579699999999,0.066915462,0.05334333,0.043806145,0.03031401,0.030735169,0.029448166,unknown,Vacuole,0.9386444240808488,Vacuole
AT3G16450,0.09756578,0.091300837,0.080470742,0.085299681,0.09034286,0.090175663,0.100561195,0.116925633,0.113641323,0.133716286,0.102750654,0.089924241,0.086624398,0.082626907,0.088961754,0.105059469,0.097444499,0.10592418199999999,0.11824642,0.122437475,unknown,PM,0.23162885289639235,unknown
AT3G28710,0.297427198,0.190910209,0.131834297,0.097270019,0.081730984,0.072854991,0.031352234,0.038265709,0.028007061,0.030347298999999998,0.358490266,0.185437142,0.10690396,0.095864992,0.082582574,0.06449223400000001,0.0,0.033952227,0.032714664,0.03956194,unknown,Vacuole,0.6945464089512825,unknown
AT5G66680,0.10479015300000001,0.134969122,0.138782882,0.126115367,0.116114016,0.105859152,0.077770349,0.06851163,0.064802395,0.06228493400000001,0.10241693,0.13214303300000002,0.131915004,0.13323500800000002,0.115347265,0.10374249,0.062582133,0.080515457,0.06846861900000001,0.069634061,unknown,ER,0.5868073180317879,unknown
AT3G28715,0.319346662,0.186192656,0.135163539,0.096938438,0.083619268,0.065525402,0.02773669,0.029306702999999996,0.021658148,0.034512493,0.347703324,0.19585296600000002,0.116105084,0.100713149,0.083159093,0.06423263900000001,0.002704237,0.033931396,0.023061408,0.032536703,unknown,Vacuole,0.7553551122546196,Vacuole
AT5G60640,0.15305672,0.17384511100000002,0.142882859,0.118462287,0.102562995,0.09475604,0.060728483,0.05682416,0.048964806,0.047916539,0.143617792,0.150438815,0.162520664,0.139679516,0.115486174,0.09468624,0.050750705,0.051414164000000005,0.050635825999999995,0.040770106,ER,ER,1.0,ER
AT3G09440,0.077763314,0.066355081,0.063023361,0.071825764,0.08407895300000001,0.124228111,0.109707711,0.14004876900000002,0.127232369,0.135736567,0.095933346,0.07406839999999999,0.074533485,0.098911641,0.113176618,0.136401311,0.091636648,0.10699915800000001,0.106973482,0.101365911,unknown,Cytosol,0.6421782970428467,unknown
AT1G77510,0.17887077399999998,0.17277623399999997,0.142502224,0.10789404300000001,0.10097968800000001,0.08061483,0.05779892,0.056746012,0.052013975999999996,0.049803297999999996,0.163629679,0.155427154,0.142599883,0.11541249199999999,0.09132819199999999,0.07958489,0.087504994,0.058908138,0.054463116,0.051141461,unknown,ER,0.40395115688443184,unknown
AT5G02500,0.073762735,0.07638089,0.063570568,0.079122729,0.10194485800000001,0.132118347,0.10739885699999999,0.13037286,0.11646302,0.118865137,0.06099005,0.050210944,0.05782046,0.059127043,0.079447039,0.09514453,0.225867748,0.152963516,0.122217072,0.09621159900000001,unknown,Cytosol,0.5643796324729919,unknown
