Majority protein IDs,R1_C2_03,R1_C2_06,R1_C2_12,R1_C2_24,R1_C2_80,R1_C6_03,R1_C6_06,R1_C6_12,R1_C6_24,R1_C6_80,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,markers
Q15185;Q15185-4;Q15185-3;Q15185-2,0.063808216,0.061607548,0.042093005,0.048378437,0.117801284,0.058758394,0.066908396,0.045628299,0.049572209,0.110057109,0.05724526,0.070378144,0.042293827,0.049496901,0.115972973,unknown
Q9P2B2,0.029989806,0.033301728,0.043556635,0.073553273,0.176404883,0.033057738,0.030350424,0.038201051,0.067004577,0.098689138,0.036428218,0.038064416,0.036439442,0.060758429,0.204200242,unknown
Q05397;Q05397-5;Q05397-7;Q05397-2,0.083587576,0.112892094,0.059634087,0.043999961,0.037041274,0.090731878,0.095209378,0.062275131,0.041254367,0.039612617,0.080519238,0.109884365,0.058351447,0.044090117,0.040916471,unknown
Q93096,0.026447367,0.029644999,0.039279541,0.080709804,0.157857063,0.027193687,0.02680692,0.038133259,0.0799841,0.154228544,0.026810219,0.032676874,0.040823723,0.073440397,0.165963504,unknown
P18031,0.023588126,0.017179973,0.03188686,0.084878206,0.166877594,0.022519856,0.016317793,0.030236377,0.08327756,0.165212453,0.019653352,0.017908472,0.033141578,0.089888286,0.197433514,unknown
Q06124;Q06124-2;Q06124-3,0.048348698,0.044928187,0.055613614,0.074051849,0.118200764,0.050431272,0.052045531,0.051839984,0.070583904,0.101621487,0.040059812,0.062596938,0.056218961,0.072929247,0.100529754,unknown
P10586;P10586-2,0.019510481,0.023883925,0.034642141,0.088544103,0.157398298,0.020050777,0.023340604,0.030603022,0.067026327,0.160812111,0.021414286,0.026837747,0.032096229,0.074183238,0.21965671,unknown
Q13332-6;Q13332-2;Q13332-3;Q13332;Q13332-4;Q13332-7;Q13332-5,0.023514421,0.024937944,0.037572031,0.088978454,0.162886909,0.026551221,0.023503389,0.033017935,0.092306504,0.1933211,0.023031946,0.027698938,0.039112863,0.080597652,0.122968694,unknown
Q6NZI2;Q6NZI2-2,0.022907212,0.045863905,0.087371475,0.093960144,0.095277878,0.024989544,0.046520688,0.070964909,0.076022298,0.067641929,0.030577673,0.064829374,0.089892357,0.090418409,0.092762204,unknown
Q9Y3E5,0.010484026,0.01146572,0.030979042,0.090050825,0.202848156,0.009683056,0.010924604,0.029347273,0.09281255,0.186811203,0.008914721,0.01127675,0.028927926,0.087136451,0.188337696,unknown
