Protein_ID,lps_rep1_set1_126_cyto,lps_rep1_set1_127N_F1.4,lps_rep1_set1_127C_F8,lps_rep1_set1_128N_F10,lps_rep1_set1_128C_F12,lps_rep1_set1_129N_F14,lps_rep1_set1_129C_F16,lps_rep1_set1_130N_F18,lps_rep1_set1_130C_F20,lps_rep1_set1_131_F22,lps_rep1_set2_126_F5.7,lps_rep1_set2_127N_F9,lps_rep1_set2_127C_F11,lps_rep1_set2_128N_F13,lps_rep1_set2_128C_F15,lps_rep1_set2_129N_F17,lps_rep1_set2_129C_F19,lps_rep1_set2_130N_F21,lps_rep1_set2_130C_F23,lps_rep1_set2_131_F25,markers
Q9BYD2,0.003604111,0.000881299,0.002959699,0.002780736,0.007370554,0.011053627,0.053099516,0.154439963,0.209598494,0.060046832,0.001743896,0.005437976,0.009635418,0.012440448,0.023916537,0.194596222,0.079513648,0.108417594,0.033563426,0.024900006,unknown
Q9BYD3,0.003485882,0.001184389,0.004734112,0.004944351,0.009686394,0.016260765,0.08025718,0.163806001,0.138590225,0.080086022,0.001506893,0.002145294,0.004327875,0.005851627,0.015025784,0.23522794,0.068048287,0.121067181,0.026118334,0.017645465,unknown
Q9BYD6,0.001670709,0.000803664,0.003248635,0.003535887,0.008938511,0.013131214,0.079122297,0.157178022,0.156800735,0.079268019,0.001415039,0.003112306,0.005023221,0.008615569,0.018954254,0.2234308,0.074504209,0.116943104,0.026325809,0.017977995,unknown
Q9BYG3,0.048973102,0.002469285,0.006071685,0.011717492,0.020890727,0.031943922,0.061994754,0.084663143,0.148030918,0.060777795,0.00255313,0.005047197,0.009824887,0.010856271,0.023062186,0.046211201,0.036682098,0.049711709,0.125153521,0.213364976,Nucleolus
Q9BYI3,0.012266812,0.028285811,0.028842499,0.025285575,0.049105968,0.053308688,0.098734889,0.082475425,0.071399094,0.051173215,0.022298861,0.030569652,0.044189455,0.042942995,0.067206592,0.109387792,0.062467826,0.059198116,0.02789658,0.032964154,unknown
Q9BYJ9,0.045251645,0.001199674,0.004066103,0.004468933,0.006400207,0.008478085,0.042383598,0.081564118,0.230957831,0.075229806,0.007960863,0.006586233,0.011243336,0.014520585,0.030568609,0.116952515,0.054585526,0.130748775,0.039300539,0.08753302,unknown
Q9BYK8,0.030359894,0.005177626,0.010594783,0.01741811,0.026749875,0.037859711,0.084623728,0.09460366,0.100037661,0.085780254,0.003995452,0.008668348,0.011477001,0.016128718,0.035506329,0.087535327,0.055872567,0.077987806,0.056378724,0.153244428,unknown
Q9BYM8,0.188582318,0.008112443,0.016210573,0.01501905,0.024416381,0.02121486,0.047067914,0.057752285,0.051962263,0.053252316,0.021578726,0.025167806,0.030556585,0.032649938,0.038796686,0.118917321,0.05878278,0.125731565,0.041569002,0.022659189,unknown
Q9BYN8,0.007396021,0.001134,0.00628347,0.007649492,0.012596261,0.015397119,0.073891144,0.155684369,0.148291045,0.075542466,0.002394242,0.007348071,0.010159483,0.01418209,0.029837449,0.180353616,0.077293646,0.114691611,0.036632122,0.023242282,unknown
Q9BYT8,0.092551285,0.000937424,0.003164186,0.003466349,0.00777981,0.012505603,0.062348754,0.129747365,0.126101735,0.049108584,0.002028321,0.004248332,0.006593715,0.009643981,0.020637749,0.241416422,0.071336573,0.113595853,0.027254788,0.015533172,unknown
