,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,R2_Con_03,R2_Con_06,R2_Con_12,R2_Con_24,R2_Con_80,R3_Con_03,R3_Con_06,R3_Con_12,R3_Con_24,R3_Con_80,markers
Q16832,0.2407181091774901,0.18084137117872726,0.1828395854371333,0.1790333647457268,0.08510316311559192,0.2200408325722056,0.18674832079686093,0.28970992935639084,0.31567512075092446,0.0955306304551134,0.20294957542114084,0.15930941349530595,0.08448488721522393,0.22932765569546776,0.07402826474927206,Plasma membrane
Q14126,0.11789431867260029,0.13611678285345058,0.19570113229216346,0.27256267171240073,0.1304387470603848,0.09460825994489085,0.11988455054417153,0.2906884178145973,0.34722197120564785,0.12240427287580047,0.05457334361995876,0.06769320015478125,0.051746833320661996,0.16154714505631546,0.09382300396418976,Plasma membrane
P00533;P00533-4;P00533-3,0.13998561462384562,0.13747939651523428,0.15959709920050733,0.17795424390007034,0.11760362346211059,0.10859836277001589,0.1175969555511215,0.24338564968577314,0.28236695456119165,0.1286915608543167,0.08584531599699904,0.08512845940910888,0.06977786743684253,0.19985880796532277,0.10973876291299302,Plasma membrane
Q9UBC2;Q9UBC2-2;Q9UBC2-3;Q9UBC2-4,0.0979271556562334,0.16228177151545614,0.2610346960655866,0.2974248672245012,0.19116460140480573,0.08081932179005287,0.13949265563409557,0.31792527080059696,0.3544942786877472,0.09790880283395344,0.07098431286046583,0.10682763998046298,0.09028171351150091,0.23196091193349386,0.07391569102093695,Plasma membrane
Q9Y4F1;Q9Y4F1-2,0.09085776493773329,0.12066614799534212,0.1584960960251787,0.20218033348250466,0.020195735610987232,0.07277788413092602,0.09215624997072576,0.2561534317256888,0.3205418003542873,0.17194171480074955,0.05115396175490584,0.056893344050049054,0.056952924767318155,0.1850739446062786,0.10731674403287667,Plasma membrane
O95466-2;O95466;O95466-3,0.17884248538957237,0.22341601688068893,0.2812115417594336,0.2150652510812993,0.049038888601382155,0.1395908874149814,0.20506936687572197,0.5507976121571929,0.37230106371826094,0.05929969021514677,0.15019425589439797,0.15161499641123857,0.14801741035794275,0.3372739830395774,0.1078590697179514,Plasma membrane
P06241;P06241-3,0.13480215610431426,0.1485103329556971,0.17472726600762212,0.22014465589294618,0.11840556735868644,0.10941874170561357,0.13599776225974106,0.2760196318445038,0.3147435822113624,0.1230492998450365,0.0827830772498907,0.08799075920321249,0.07568534370514042,0.2278142851460903,0.09433449764086198,Plasma membrane
P63092;Q5JWF2;P63092-4,0.11148370542949627,0.12571550974412707,0.14806827220108237,0.1722844235516031,0.1265332110087311,0.09354794671859099,0.11510312081415462,0.2637492964980806,0.31640172544450307,0.12575328664994717,0.07553383960908533,0.0765924361028449,0.06864746065046606,0.2265950703057607,0.139278123785501,Plasma membrane
Q8IZP9;Q8IZP9-8;Q8IZP9-7;Q8IZP9-5;Q8IZP9-6;Q8IZP9-3;Q8IZP9-4;Q8IZP9-2;Q8IZP9-10;Q8IZP9-9,0.3203588593830175,0.21588171103581905,0.22563062385431634,0.21314083968982403,0.09460925760983703,0.18809388351799136,0.19301173144778036,0.24738264055228193,0.2593652149678136,0.07369570678932856,0.18296673520238554,0.16326338469367044,0.09723173526772157,0.24018116344610158,0.0792238928475191,Plasma membrane
P05362,0.11827576280554392,0.12600813958168233,0.14585346858547113,0.1854670618362559,0.1293695846367733,0.0828771181768883,0.1051149798225816,0.22772646841414898,0.30156589453893484,0.1512219869234571,0.0555023367896464,0.06611104984862952,0.052805453598576815,0.15835871380533725,0.12040636662405399,Plasma membrane
P46940,0.18383756483592723,0.23409301459542742,0.23389643912910374,0.22136251280400537,0.10083545016190784,0.13195214946272565,0.1841723165646117,0.33981912257071295,0.32020893699583164,0.08803070743864233,0.11926400769965656,0.16200810057920229,0.15353370436629254,0.3298784559153612,0.10588733652468532,Plasma membrane
P26006;P26006-1,0.22678208557860083,0.1367770181301028,0.18005341574065262,0.26555461310176953,0.10529997981390367,0.1238166023946227,0.10142196752820619,0.18648578954855416,0.2830015845916351,0.09188606902020692,0.09457669217808817,0.07569449167045848,0.05345918791581646,0.21193670213548824,0.10110227488443549,Plasma membrane
P06756;P06756-3;P06756-2,0.14104228455230786,0.18309458682560675,0.2446934349434835,0.28149754349599243,0.14504751566057855,0.12077261837862405,0.14774340786386161,0.28677566787978875,0.2909189401263892,0.10727951125134902,0.13628397642938128,0.13674114236143595,0.08607548344728597,0.19081577474324415,0.07492143945683628,Plasma membrane
