,P1rep1,P2rep1,P3rep1,P4rep1,P5rep1,P6rep1,P7rep1,P8rep1,P9rep1,SNrep1,P1rep2,P2rep2,P3rep2,P4rep2,P5rep2,P6rep2,P7rep2,P8rep2,P9rep2,SNrep2,P1rep3,P2rep3,P3rep3,P4rep3,P5rep3,P6rep3,P7rep3,P8rep3,P9rep3,SNrep3,markers
P08670,0.410958904109589,0.06392694063926936,0.1872146118721461,0.2146118721461187,0.29223744292237436,0.3470319634703196,0.22831050228310498,0.21917808219178084,0.4429223744292238,0.4429223744292238,1.0,0.36529680365296796,0.3333333333333333,0.1917808219178082,0.1415525114155251,0.17808219178082188,0.08675799086757986,0.0,0.09589041095890406,0.3378995433789954,0.2100456621004566,0.1324200913242009,0.29680365296803646,0.319634703196347,0.3378995433789954,0.3789954337899543,0.24200913242009128,0.2009132420091324,0.22374429223744285,0.49315068493150677,unknown
P62937-2,0.36842105263157887,0.2591093117408907,0.13360323886639677,0.0,0.05263157894736844,0.0445344129554656,0.024291497975708523,0.08502024291497978,0.04048582995951415,0.8502024291497977,0.0,0.19838056680161945,0.14574898785425097,0.08097165991902835,0.04858299595141699,0.1214574898785425,0.12550607287449392,0.2753036437246964,0.1862348178137652,1.0,0.30364372469635625,0.07287449392712551,0.27125506072874495,0.242914979757085,0.2226720647773279,0.23886639676113358,0.13360323886639677,0.1376518218623482,0.10121457489878541,0.45748987854251016,unknown
O43768,0.20833333333333331,0.0,0.1111111111111112,0.0972222222222223,0.28472222222222215,0.1944444444444445,0.24305555555555555,0.25,0.35416666666666663,0.9583333333333331,0.04861111111111115,0.13194444444444445,0.3888888888888888,0.24305555555555555,0.2222222222222223,0.3055555555555556,0.18750000000000006,0.17361111111111116,0.24305555555555555,1.0,0.04861111111111115,0.06250000000000004,0.3819444444444445,0.3611111111111112,0.45138888888888884,0.39583333333333337,0.20833333333333331,0.17361111111111116,0.20833333333333331,0.7499999999999998,unknown
P10809,0.472972972972973,1.0,0.4909909909909909,0.06981981981981983,0.03153153153153153,0.0518018018018018,0.0045045045045045045,0.0045045045045045045,0.006756756756756759,0.0045045045045045045,0.5180180180180181,0.8355855855855856,0.4234234234234234,0.1509009009009009,0.06756756756756759,0.04954954954954954,0.009009009009009009,0.015765765765765768,0.013513513513513514,0.018018018018018014,0.6441441441441441,0.9099099099099098,0.39414414414414417,0.0945945945945946,0.011261261261261262,0.04054054054054054,0.0,0.0,0.0022522522522522505,0.0022522522522522505,unknown
P63244,0.10434782608695654,0.1695652173913044,0.20869565217391306,0.25652173913043486,0.4173913043478261,0.4043478260869566,0.5608695652173913,0.8565217391304347,0.7391304347826086,0.0,0.09130434782608697,0.1826086956521739,0.18695652173913044,0.25217391304347825,0.291304347826087,0.24347826086956528,0.5869565217391305,1.0,0.8478260869565218,0.03043478260869565,0.10000000000000002,0.1347826086956522,0.2173913043478261,0.291304347826087,0.32173913043478264,0.3347826086956522,0.6521739130434783,0.8217391304347825,0.8347826086956521,0.021739130434782615,unknown
P62937,0.5,0.05970149253731343,0.16417910447761191,0.1865671641791045,0.40298507462686567,0.4253731343283581,0.1791044776119403,0.19402985074626866,0.24626865671641784,0.7014925373134328,0.08955223880597007,0.09701492537313436,0.4925373134328358,0.23880597014925367,0.30597014925373134,0.4328358208955223,0.24626865671641784,0.126865671641791,0.0,1.0,0.16417910447761191,0.007462686567164134,0.3283582089552239,0.3582089552238805,0.462686567164179,0.36567164179104483,0.19402985074626866,0.2238805970149254,0.2761194029850746,0.6791044776119403,unknown
P07355,0.6021505376344086,0.9247311827956989,0.8602150537634408,0.8064516129032256,0.7634408602150539,0.8064516129032256,0.3978494623655914,0.09677419354838704,0.12903225806451618,0.7419354838709679,1.0,0.8924731182795698,0.9677419354838709,0.9354838709677419,0.5806451612903226,0.5268817204301075,0.3655913978494623,0.05376344086021503,0.07526881720430106,0.6774193548387097,0.989247311827957,0.6774193548387097,0.978494623655914,0.9677419354838709,0.7526881720430105,0.5806451612903226,0.30107526881720437,0.06451612903225805,0.0,0.7741935483870969,unknown
P27816,0.12941176470588237,0.05098039215686275,0.08235294117647059,0.13725490196078427,0.23921568627450973,0.25098039215686274,0.37647058823529406,0.8431372549019609,0.9254901960784314,0.0,0.08235294117647059,0.10980392156862745,0.10980392156862745,0.13725490196078427,0.12941176470588237,0.13333333333333333,0.3411764705882353,0.9098039215686274,0.9921568627450978,0.09411764705882351,0.09411764705882351,0.05490196078431373,0.1176470588235294,0.18823529411764706,0.20784313725490197,0.2156862745098039,0.4,0.8274509803921568,1.0,0.01568627450980392,unknown
Q02790,0.026455026455026443,0.09523809523809529,0.19576719576719584,0.23280423280423282,0.291005291005291,0.3597883597883598,0.1375661375661376,0.005291005291005332,0.1058201058201058,1.0,0.03174603174603177,0.16402116402116398,0.3756613756613757,0.20634920634920634,0.18518518518518517,0.3068783068783069,0.13227513227513227,0.021164021164021184,0.0793650793650794,0.9629629629629631,0.0,0.0740740740740741,0.3174603174603175,0.34391534391534395,0.4179894179894181,0.3333333333333333,0.1164021164021164,0.05291005291005292,0.037037037037037035,0.8835978835978836,unknown
P02795,0.14718614718614714,0.11688311688311687,0.22943722943722938,0.22943722943722938,0.29004329004329005,0.48051948051948057,0.24242424242424246,0.06493506493506493,0.16450216450216446,0.6363636363636364,0.0,0.13852813852813853,0.38095238095238093,0.19047619047619047,0.22510822510822512,0.43722943722943725,0.14718614718614714,0.008658008658008635,0.1082251082251082,1.0,0.05194805194805193,0.0822510822510822,0.23376623376623373,0.2857142857142857,0.41558441558441556,0.4069264069264069,0.13852813852813853,0.12121212121212119,0.11255411255411253,0.9047619047619048,unknown
