,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,R2_Con_03,R2_Con_06,R2_Con_12,R2_Con_24,R2_Con_80,R3_Con_03,R3_Con_06,R3_Con_12,R3_Con_24,R3_Con_80,markers
P30042;P30042-2,0.0,0.026318694362017676,0.5408427299703271,0.6230860534124629,0.7169732937685467,0.010712759643916804,0.01482492581602368,0.3041661721068248,0.7727596439169137,0.5370563798219584,0.002833234421364979,0.01694480712166171,0.38763798219584517,0.8457566765578625,1.0,unknown
Q8WWC4,0.0,0.02978643477621254,0.5927162299456292,0.5640166995802774,0.9048383993148906,0.007220197639282946,0.016708774635131804,0.40624152395163077,0.6141850548344928,1.0,0.0014724106883092028,0.02260826848574844,0.37398246373318467,0.6919890219370818,0.5285396142178918,unknown
Q9BRJ6,0.7923229129260125,0.5452891259342088,0.09975585831588084,0.04148239552880897,0.03400871969015931,0.9374341745335872,0.4959064693931166,0.051252883065050575,0.013332594240377143,0.0,1.0,0.7468686961195203,0.1181014308678963,0.05026474791708342,0.026479611879794585,unknown
Q9H7E9;Q9H7E9-2,0.6637338595871062,0.5575460170512911,0.0990038105152415,0.037843510016171845,0.058504908578251996,0.7205436594863467,0.4825604212999183,0.05018523724562929,0.01274532453398434,0.0,1.0,0.7172313781595403,0.16416668290334027,0.07714553718801231,0.05978250280430544,unknown
Q9Y376,0.26127280323074714,0.1369818502529831,0.17849881632084488,0.23335654272849732,1.0,0.13578424546256385,0.07963607668384236,0.0,0.13847653530148957,0.5546581256092469,0.0993547788144631,0.05795850160144632,0.07995172445806079,0.3781646010304971,0.6351483080350917,unknown
Q9HB71;Q9HB71-3,0.665441591308411,1.0,0.3154004868062621,0.17234875961119814,0.10733916856069675,0.664071441236682,0.5738027306284939,0.1558424810999901,0.08652094717668356,0.0,0.755065525412254,0.8645163370246787,0.3918387413962643,0.20549027193449199,0.0950884149781567,unknown
P27708,0.4425158962020954,1.0,0.4133325001171684,0.36776078363979825,0.09233076598603093,0.6651408395694357,0.5223327969504289,0.155478135887139,0.23092065178334428,0.0,0.7191488696901969,0.788889062475588,0.55121935977753,0.5501101407614525,0.29213079410707965,unknown
P62158,0.12043219893363608,0.18030339867581052,0.17877679333721433,0.4203988397799426,1.0,0.07099845643237983,0.11302533599452726,0.1119114795067361,0.3013236233695006,0.669914001232593,0.0,0.04380791912384044,0.11511169662394001,0.36990778172936,0.7242498430988958,unknown
O43852;O43852-3;O43852-6;O43852-15;O43852-10;O43852-5,0.1681345516124054,0.034635105177337026,0.14933166522277383,0.5382509442011782,1.0,0.17734754717079962,0.02032093679413928,0.09570784334766731,0.41264535986955203,0.8912500098149815,0.07458600409873614,0.0,0.06481290028764435,0.42314084628692694,0.8320722173220012,unknown
Q13557-12,1.0,0.8344770478950663,0.12567059258802551,0.04307208484923216,0.05414952563007078,0.7769976832072163,0.6132805961997547,0.07045516609554339,0.0,0.0010086417251736006,0.9580686933464876,0.8991798729728065,0.20800042283670506,0.06101181300046694,0.0681603960570477,unknown
Q13555-6;Q13555;Q13555-5;Q13555-2;Q13555-4;Q13555-8,0.8253415368802738,0.7268775606343959,0.10585501991406362,0.03175900415411621,0.042483333571255104,0.8660261809253276,0.574345833749697,0.05532397824442186,0.0001998543918001682,0.0,1.0,0.8998229861101207,0.12820659233986695,0.0304885012348145,0.03426075288004447,unknown
Q86VP6;Q86VP6-2,0.6053969448050764,1.0,0.24777655095429177,0.1407233944453184,0.08148804251549929,0.5375953990074837,0.49804045281919923,0.09411893177378274,0.03141342198818073,0.0,0.6611257386218864,0.90608733635051,0.4565926932550325,0.3964958685708023,0.3192302558938085,unknown
Q01518,0.20729858139299567,0.5493648279812656,0.21408835124843908,0.33209219260706835,0.8100886208174666,0.2924486976446402,0.23816423492940594,0.0,0.18564881895070134,0.5010108838494458,0.5197964753849783,0.6894733295144375,0.4898069211847557,0.6485325336118868,1.0,unknown
P40121;P40121-2,0.25535742329711825,0.48598717930414187,0.16231457818768386,0.2506317547792075,1.0,0.09746869779992272,0.1458104307354039,0.0,0.09275730622617603,0.35582427937124295,0.29374812615107865,0.31854717816198524,0.26702168667818366,0.32932627100495293,0.856031295061606,unknown
P04632,0.16007750675741764,0.3949750871136872,0.11886540528218371,0.12256163089849277,1.0,0.10448757612271001,0.11168463216856335,0.0,0.16929364639984384,0.6170091510079142,0.17209431074347867,0.23351353111668366,0.1484840590093489,0.3972384146937174,0.6408799296577344,unknown
Q14444;Q14444-2,0.7918760988014752,0.43989240352350895,0.0674130483679211,0.02841621108004998,0.06956819110309337,0.8449169386415495,0.41271786679886757,0.028042102170749733,0.0,0.024801355054601435,1.0,0.6105365593915116,0.09147995648401883,0.032175661346516636,0.06834028762778224,unknown
P52907,0.6479040776514235,1.0,0.2760860255983223,0.15165104439263402,0.19718561164771206,0.7209401912737282,0.6846600371128138,0.037184184231809685,0.0,0.03469810153685121,0.6705048294237983,0.7569824427844138,0.17056430508635884,0.08275443688442452,0.19728077270780708,unknown
P47755;P47755-2,0.6575896316123112,1.0,0.42566739451996954,0.363358456011831,0.5271254490385313,0.875607522716069,0.6078749031485529,0.0,0.04954567866450634,0.26590124674227034,0.9058956117489588,0.8768753962104646,0.2497569909135713,0.1985489892230763,0.5008522927379034,unknown
P47756-2;P47756,0.5491331634872326,1.0,0.28834897160256123,0.1664450382153716,0.24209283539427137,0.9532716087740029,0.6989995650282737,0.021276331324180518,0.0,0.04317405082955489,0.8531038339650774,0.8040141676505318,0.1414155222767682,0.15473808488162544,0.16989995650283,unknown
P49589-3;P49589,0.6299166207718019,0.7740691881091734,0.15395058724080019,0.05544526557116678,0.03193642173751558,0.7622859484867491,0.5085620605299901,0.09366394712911631,0.0184497355175019,0.0,0.6705175659925445,1.0,0.35147354534626113,0.16625254556399385,0.16178900316354358,unknown
P20810-10;P20810-6;P20810-9;P20810-7;P20810-5;P20810;P20810-8;P20810-4;P20810-2;P20810-3,1.0,0.8369295537761632,0.2210748442160136,0.11052958720508177,0.07300562546030039,0.9804649753722879,0.727031982073743,0.11844806242850679,0.04337924586447708,0.0,0.9374252419679174,0.9408725992551629,0.28336754574277484,0.11462985306945499,0.042459950587878735,unknown
Q03135,0.17576510741531393,0.5260407066280574,0.728741400531575,0.7632284649094125,0.7355793529513186,0.13403575951813324,0.31681720072066155,0.5113539740395638,0.7162547048085678,1.0,0.0,0.15457340095969144,0.2706877790925142,0.4595639170169878,0.6922326806557281,unknown
P16152;P16152-2,0.1286324529210032,0.49501634478470835,0.14174839059021643,0.21141928885145284,0.8862683753484544,0.4499127609650451,0.2937448609189207,0.0,0.09076870625513934,0.733549926799428,0.3537693279586053,0.3953833503800432,0.3169283837715359,0.39502236126988,1.0,unknown
Q6P1N0,0.6794845902169073,0.5749686957224208,0.17974714222240243,0.08077513430545018,0.04455305570141796,0.975865411802722,0.6675687684291307,0.10159752797188572,0.012057195944581395,0.0,1.0,0.7734479137213702,0.23463060952457984,0.09336248333804682,0.05363129619905432,unknown
Q96CT7,0.9740415958602733,0.6841018250318455,0.21541219959885058,0.11045230036852438,0.01856806066606719,1.0,0.694258227963018,0.2651360192007075,0.12164703946528523,0.0,0.9944395112443852,0.9436007569073476,0.39960906359667187,0.19462278041459666,0.036242471353553525,unknown
Q96JG6,0.8114955622688295,0.6115633359048858,0.10768798171553721,0.06105755712091824,0.05187567142764445,0.6658543443621702,0.6369423996193128,0.06252478424190869,0.005497595477912301,0.0,1.0,0.7419194358926284,0.18589443174690196,0.05906400282630481,0.053652926883782565,unknown
Q96A33;Q96A33-2,0.029897770076047294,0.007412398503746518,0.034796765521396114,0.13501956558021388,0.49234966269770924,0.043293693411980215,0.003296398531045921,0.022942635964806075,0.14785647233860622,0.567205767115305,0.020221385455269605,0.0,0.013742749381265983,0.16751822077618272,1.0,unknown
Q96ER9;Q96ER9-2,0.0,0.020837340071382715,0.3633988330962057,0.4300638705036432,0.6242255263127137,0.004583885421990482,0.015332214811453948,0.3760486142618978,0.4480370791065562,1.0,0.0010588414054273053,0.019857659413275327,0.3922632854579049,0.6460611418486222,0.38624388098048834,unknown
P14635;P14635-2,0.789343906726839,0.8198616427826675,0.2510064764572016,0.26128052724906536,0.1617059490559272,0.7506830341174574,0.3878035601488583,0.1539433329020778,0.11598261782814177,0.0,1.0,0.7724488009802203,0.3086629274195383,0.1867441913560988,0.14576214430855614,unknown
Q9Y5K6,0.9360954808697571,0.7411514560597677,0.12528927367345316,0.042665664242837256,0.06557261503400752,1.0,0.6915784651168249,0.07366053073642893,0.0,0.028621941334711617,0.6743101483665564,0.7491395209510479,0.14557660906645364,0.030096209193323033,0.05152301854875644,unknown
P08962;P08962-3;P08962-2,0.4271148381369322,0.017733351320536373,0.03502282489022728,0.4526378088105388,1.0,0.4198474279025037,0.0,0.003731619326959555,0.2859660651107728,0.7499053495972455,0.2590287780741804,0.008194331420017232,0.007300048304343473,0.4233940981666112,0.861745135839647,unknown
O75794,0.43505185973177307,1.0,0.08548307435127858,0.07567626609931194,0.059439231032256394,0.4879088940389799,0.3820998442308428,0.024310436533566633,0.0030678925572736786,0.0,0.6163234679533459,0.6450552790547472,0.18043102465711838,0.10361973329280784,0.08969549029292154,unknown
P30260;P30260-2,0.32746380008824344,0.9003248967149324,0.23904376077975262,0.13570655007821586,0.06591793349645012,0.38931450804219586,0.5786370382255024,0.17199069431631347,0.06914283422245392,0.0,0.7189041755244465,1.0,0.35020657013356765,0.20673859853194784,0.09032930889254324,unknown
Q16543,0.34639403061551244,0.6298277076794987,0.1881444949721402,0.36443988983539277,0.9269038621661455,0.36194197143406326,0.2628258502529954,0.0,0.24004035098956067,0.7299686158970093,0.3272433228719677,0.27429065522321205,0.3171075385896392,0.3312463972330766,1.0,unknown
P60953;P60953-1,0.016651160705279944,0.07122280385145621,0.16254357548787815,0.39963906605539706,0.7474583300640054,0.022928272785357442,0.002695795455820799,0.08258886036788501,0.2873235963368576,0.5671594946924794,0.0,0.005077735307635255,0.12415791420532903,0.49312319953370143,1.0,unknown
Q9Y5S2,0.5060155052872738,1.0,0.2296815499218664,0.13254340317286925,0.05162360485286141,0.6774030413828325,0.5628581109442252,0.16752891437703335,0.06134348813334707,0.0,0.6515103242152538,0.8338719220791049,0.31477857175367524,0.18574484547813003,0.0908166825967572,unknown
Q9H3Q1;Q9H3Q1-2,0.0,0.3670763884419849,0.08562327048072797,0.04602934551772961,0.5221217581568968,0.003893429435616392,0.00825342686144474,0.22050968530793463,0.2156670313405002,0.6407104704292423,0.21138747667160002,0.39212626295128583,0.3036392303237038,0.23079026964412103,1.0,unknown
Q99459,0.9167583876603831,1.0,0.24135834301855807,0.12105246953964982,0.05366255397427704,0.816198825458156,0.6718056079370098,0.0905305450151245,0.02455685290518234,0.0,0.7102899409650342,0.680580035867399,0.15237101975785702,0.057222354779369426,0.02052754323714834,unknown
P06493;P06493-2,0.9856037691949706,1.0,0.43283213122382425,0.3545544439274082,0.5587627966496012,0.6935638669148406,0.41839227547696617,0.07705618892508058,0.0,0.19040832945556024,0.6929240344346197,0.6419119357840853,0.20371393671474952,0.20009306654257666,0.23079048394602028,unknown
Q9NYV4;Q9NYV4-2;Q9NYV4-3,0.9417196179351862,1.0,0.1950781829897962,0.10199678621825961,0.07681672471593924,0.9508960251882198,0.45940765271580897,0.05453232950235406,0.04111030449358464,0.0,0.5020677504343501,0.8801357292592815,0.13263375123371704,0.059198022790117266,0.14126365245479164,unknown
P24941;P24941-2,0.7692675183775404,1.0,0.36491547103515426,0.28508684060472644,0.4555779870239934,0.47012590731865006,0.3820061951948698,0.019833870147483744,0.0,0.14714358365824687,0.5718997056511897,0.7576476752608335,0.3476089938202162,0.14632680423492517,0.2719104933039514,unknown
Q96JB5;Q96JB5-4;Q96JB5-2,0.08441872463758747,0.018662853982050344,0.08561072770412452,0.4317849154195382,1.0,0.11020286695337236,0.008741894945227625,0.04978917557703788,0.3757268064830734,0.7819782722263293,0.05267618436098445,0.0,0.02849000545054312,0.31171122795724376,0.8844873012047803,unknown
Q9UKY7;Q9UKY7-2,0.9828893723990789,0.9190413823697142,0.2627801601216749,0.13120788356323526,0.027107670208495957,0.9801960328693037,0.7775618411880257,0.15945626227846002,0.07175901476583786,0.0,0.9516255096220861,1.0,0.3698641711907715,0.17612856207355437,0.07188047909757278,unknown
Q9BXW7;Q9BXW7-2,0.0,0.0020329065784816954,0.03997683829589166,0.04431217605978498,0.06787744157485073,0.0007599650760679323,0.0012080542694869667,0.027607001019559346,0.06201899958034148,1.0,0.0001994228165004026,0.0011701467036401392,0.03123905368024192,0.054659671904576254,0.06093981289714227,unknown
Q92879-4,0.7545575033134112,0.6090174798069465,0.10900497636850083,0.026454149891220087,0.03893258145990139,1.0,0.43328165245442524,0.044427842656730505,0.0,0.007355147665608004,0.92104078621621,0.6408387306509287,0.1365250443872059,0.04160206556803108,0.0522362399659907,unknown
P49454,0.5409155768500681,1.0,0.5579206430245172,0.37737108746023523,0.9592873319457008,0.6685386639437624,0.37657254316720934,0.07059917003757203,0.0,0.21010878529631005,0.3333333333333314,0.7604367120920564,0.4859862022018852,0.12533218133500607,0.41694484808021814,unknown
Q5SW79;Q5SW79-2;Q5SW79-3,0.7234270398975777,1.0,0.2267862377582212,0.06058521235036164,0.05875455421081296,0.6013831639276594,0.8080800224943607,0.13489437820440023,0.0,0.041656446489144704,0.9036810586707975,0.9821121966102899,0.4039412992886761,0.2210908568796245,0.10968992479943447,unknown
Q53EZ4;Q53EZ4-2,0.051792010179465324,0.4510643374068875,0.20774461204039923,0.09923322641359336,0.09803037934416577,0.06137833682368737,0.2952575351907318,0.09330183177371783,0.026260504201680662,0.0,0.14693953291095505,1.0,0.17507223709673153,0.07270763194867766,0.04920738011292819,unknown
P23528,0.021428393451881918,0.05297298195197707,0.10010714196725974,0.306650276991056,1.0,0.034264665575868464,0.019372762684695656,0.03275305022383526,0.18978662967915674,0.541573574970308,0.0,0.04069318361143224,0.12459198843863571,0.33567827509738396,0.9037798689379656,unknown
Q9BWS9;Q9BWS9-3;Q9BWS9-2,0.11530947155813624,0.025730710221203767,0.13513041113981092,0.47155813637334726,1.0,0.1376745450661284,0.015167699209570723,0.091179040997456,0.4068089569050895,0.9351148744440785,0.05612242916237789,0.0,0.05147889922510737,0.4029442038414488,0.8501485696529498,unknown
Q9H444,0.6130176909704457,0.2784026996625437,0.1730340525616109,0.2889763779527572,0.909193169035687,0.5563861335514861,0.22829532672052236,0.0,0.31952142345843154,0.7276817670518454,0.5021781368238067,0.44649759689129903,0.35414664076081387,0.6028939564372648,1.0,unknown
Q9UHD1;Q9UHD1-2,0.3478688524590142,0.5362131147540966,0.15037704918032585,0.21116393442622902,1.0,0.17570491803278698,0.20942622950819442,0.0,0.13068852459016186,0.5916229508196714,0.3754262295081974,0.31552459016393497,0.201081967213115,0.29924590163934267,0.9087868852459001,unknown
Q14011;Q14011-2,1.0,0.6145529605815101,0.130662589001067,0.05436781936701202,0.05147419641811267,0.8163150946442648,0.6140464182709815,0.04951767674369277,0.005936042701516663,0.0,0.9046117511484268,0.7187740409729428,0.11300325770023373,0.03367556598188468,0.03007278379824423,unknown
Q8N5K1,0.0747090751903601,0.02602057641288308,0.0913371697479789,0.3645108868416124,0.8829467704895144,0.08252846859319249,0.010944774048645375,0.058687043039343606,0.26898178544796614,0.8462265187953618,0.04078294944429429,0.0,0.04087801805709463,0.2706306317012233,1.0,unknown
O14578-4;O14578;O14578-3,0.0,1.0,0.30007757878053776,0.1962552770228783,0.19270473896882012,0.09821092861324456,0.22770086002979306,0.1853276156661538,0.04270640477085732,0.06667967578732896,0.17814086973904097,0.8910089524960856,0.32768229823567824,0.138713715262079,0.1731482230651715,unknown
Q8WWK9;Q8WWK9-6;Q8WWK9-5,0.5283927216157747,0.31154399465335625,0.15421822314689368,0.09331329600247694,0.09886761390882792,0.6999686602048791,0.4476266712984107,0.03940507251575479,0.0,0.03709423461046152,1.0,0.6221100366637842,0.16302357281216182,0.10448234587806093,0.12733774104267148,unknown
Q07065,0.04321759967052092,0.009087973392073763,0.050719799317329485,0.32597985685135317,1.0,0.048144184508246306,0.0025061933317940526,0.02972175247889273,0.22913299595015335,0.8517188445770123,0.02167744129595081,0.0,0.020007425758020104,0.24278328642833458,0.9629492115592213,unknown
Q14008;Q14008-2;Q14008-3,0.6213257201228423,0.5258550128669365,0.09723868331619943,0.0352678483731347,0.04346929287505659,0.7611595303731749,0.40599278403845135,0.05123201739164612,0.0,0.0039975903141105315,1.0,0.705239102392006,0.1667037723370682,0.06312001938225617,0.07702154966375652,unknown
P12277,0.4461328861873829,0.6911286941940887,0.05693250890798817,0.10356843429050476,0.8873663802137916,0.6737581219870029,0.41409033745546,0.0,0.08530706350870063,0.5879532592747831,0.506576189478095,0.443119891008174,0.2807587507859969,0.38626598197442896,1.0,unknown
P12532;P12532-2,0.0,0.49105501665241,0.8447594955138572,0.7027135239412503,1.0,0.34093763080786793,0.3735417766211084,0.3144757675578293,0.26917757111398183,0.5545070704497054,0.29517535079258256,0.6271861976086045,0.5232769759950495,0.4193495550257509,0.7531257393488248,unknown
Q7Z460-4;Q7Z460-3;Q7Z460-2;Q7Z460-5,0.60777399621564,0.48816678892901316,0.11317505344386333,0.043353283609814115,0.04261970952985148,0.7191953983181314,0.48341272514899764,0.07155023408254436,0.014778526743970045,0.0,1.0,0.794410354413881,0.19054980275357822,0.07780607827518782,0.05877093283546852,unknown
O75122-3,1.0,0.5572650240149944,0.13094615174352825,0.04663594829942598,0.04964660861415904,0.5810847748838296,0.45831543597953917,0.09932055136865856,0.021090241711898095,0.0,0.8536452028583706,0.7816002186731227,0.2531102346831192,0.12328478269358446,0.05512124643679951,unknown
Q96S66;Q96S66-2;Q96S66-3;Q96S66-4,0.07603626850159478,0.023927176289287883,0.08152815109486429,0.38025301938859557,0.9579973479554162,0.10055549582482157,0.005173637243307147,0.05437551517757943,0.300490986632262,0.9567645056087146,0.04216177471956409,0.0,0.03063039816507184,0.25428806938322,1.0,unknown
O00299,0.2825178997613364,0.29725323900443096,0.10226304125468731,0.16996249573815,0.8310177292874186,0.34366476304125493,0.17328673712921913,0.0,0.11917192294578752,0.4466736276849639,0.36273653256051674,0.3050843845891573,0.22652787248550782,0.3380391237640639,1.0,unknown
Q9Y696,0.03404130780165581,0.02864997073333917,0.056248432143155294,0.2503762856426116,0.19669286729659666,0.03452002675809007,0.0,0.02013755330713315,0.17256877665356665,0.6443055439418012,0.03510117902834717,0.021036457897816947,0.06592733506146026,0.24813947654486201,1.0,unknown
Q14677-3;Q14677-2,0.5122977181071021,0.8611465618459342,0.16681811220582948,0.0,0.14504058400122555,0.7699729439991846,0.6042677012609132,0.11229771810710355,0.014957374036450387,0.09433865945173554,0.8237786512838828,1.0,0.21183317167798454,0.04740415539333599,0.12042472816376838,unknown
