Protein_ID,Map1_01K,Map1_03K,Map1_06K,Map1_12K,Map1_24K,Map1_80K,Map2_01K,Map2_03K,Map2_06K,Map2_12K,Map2_24K,Map2_80K,Map3_01K,Map3_03K,Map3_06K,Map3_12K,Map3_24K,Map3_80K,Map4_01K,Map4_03K,Map4_06K,Map4_12K,Map4_24K,Map4_80K,Map5_01K,Map5_03K,Map5_06K,Map5_12K,Map5_24K,Map5_80K,markers
Q9R0P3;H3BKH6;H3BJP2;H3BLJ9;H3BJL6;H3BK43,0.022307747,0.052520578,0.035469354,0.042241371,0.037014077,0.016150778,0.019293406,0.067606491,0.031082422,0.026398319,0.021577404,0.009985689,0.017273696,0.07686265,0.049045459,0.038418334,0.045314577,0.019107065,0.020671274,0.037422891,0.03817678,0.045984431,0.028826031,0.017695907,0.020634331,0.035203443,0.047851901,0.032598727,0.034896934,0.012367932,unknown
Q8R010,0.014078387,0.020531492,0.020334619,0.031536909,0.030418012,0.05038233,0.009088107,0.017811507,0.023483249,0.027223828,0.025831334,0.049186176,0.009617718,0.017941778,0.022927263,0.027279772,0.023696905,0.039156064,0.013761366,0.036731787,0.028902173,0.054050713,0.021351217,0.109939614,0.014378358,0.033431041,0.029818603,0.047595744,0.035775397,0.113738536,Large Protein Complex
Q8BJH1;Q8BJH1-2,0.008291517,0.029878909,0.022796877,0.022560508,0.019976249,0.045708835,0.005852802,0.026033829,0.027389987,0.036980121,0.047291207,0.101001035,0.008434805,0.028408798,0.02425627,0.041204293,0.041388762,0.069630014,0.002430704,0.047911181,0.029777366,0.025754023,0.035875563,0.056177313,0.00408331,0.02903949,0.025922132,0.021709243,0.033846968,0.080387888,unknown
Q8CHP5-2,0.005000526,0.009330004,0.008899798,0.014089428,0.031516507,0.119200331,0.004238935,0.010520507,0.011298136,0.016920559,0.030127329,0.118194017,0.000955688,0.013001885,0.011738948,0.015903639,0.029260709,0.158118031,0.003326009,0.010306309,0.011146801,0.019325623,0.033617091,0.107031436,0,0.012335235,0.00831179,0.018300166,0.034693251,0.133291311,unknown
A0A087WPF7;E9PWJ4;E9PZ86,0.043972488,0.043266007,0.011541711,0.017800465,0.038249521,0.020438625,0.060373268,0.019035147,0.01785357,0.044497844,0.047579806,0.023692229,0.050357365,0.006273832,0.005826426,0.056162834,0.036048526,0.019784301,0.074060974,0.065889506,0.025946328,0.028062925,0.031063334,0.016832255,0.059713254,0.040857335,0.015038079,0.039860676,0.025292952,0.014628415,unknown
Q4FK66,0.082994525,0.013522077,0.008419669,0.020720516,0.034423241,0.039015376,0.11270606,0.013440317,0.006460983,0.014715839,0.025579907,0.029308876,0.080706536,0.014469589,0.006929245,0.014739753,0.024172858,0.02000762,0.102248531,0.014908443,0.01112389,0.01711758,0.036914822,0.042741437,0.090459572,0.017144403,0.00741722,0.015617784,0.03812668,0.043846652,unknown
Q99MK8;Q3U1V3;Q7TS64;E9PW16,0.016325075,0.049609057,0.028186262,0.034591264,0.02920368,0.030904209,0.014132745,0.033722642,0.025517591,0.047535572,0.044140312,0.026486699,0.006345387,0.026557232,0.028415253,0.04383499,0.047253439,0.023103034,0.010858262,0.064347616,0.034096565,0.051770468,0.037410663,0.022378377,0.013147212,0.058236341,0.035167125,0.063821998,0.035566169,0.017334763,unknown
Q8BSS9;B8QI34,0.004969422,0.028960886,0.044283253,0.061311252,0.04089704,0.029872517,0.004405126,0.019357722,0.022492337,0.038317899,0.038117492,0.012310827,0,0.019396932,0.03793778,0.066717865,0.067563056,0.024534521,0,0.043300826,0.048793483,0.069454935,0.063316404,0.008757537,0.00170585,0.024958206,0.04162787,0.06173058,0.055570265,0.019338117,unknown
Q920A5,0.00239028,0.025399189,0.063992851,0.060906026,0.03235251,0.011519472,0.002532145,0.035421892,0.056867366,0.075665147,0.045081305,0.015534999,0.000896772,0.018006735,0.069521834,0.05979492,0.058179456,0.014923323,0,0.023202386,0.045581871,0.058016393,0.029085557,0.00928285,0,0.022282026,0.056112724,0.057341387,0.031018046,0.019090537,unknown
P99028,0.0040112,0.071784544,0.113618129,0.019969717,0.000720801,5.12E-05,0.007354746,0.078739068,0.123528069,0.024588844,0.000896162,8.19E-05,0.010366685,0.071998449,0.105506239,0.022857963,0.000217636,0.000585565,0.005758305,0.051629855,0.064120099,0.023020201,0,0,0.008993554,0.086160673,0.080518517,0.02262339,0.000286252,1.22E-05,unknown
