cv_index,true_label,pred_label,pred_prob
3.0,Nucleus (speckles),Nucleosol,0.9246626496315002
3.0,Cytosol_5,Cytosol_3,0.5865007638931274
5.0,Cytosol_5,Cytosol_2,0.6670793890953064
3.0,Cytosol_4,Cytosol_5,0.42292869091033936
3.0,Cytosol_5,Cytosol_5,0.4754989445209503
4.0,Nucleosol,Nucleosol,0.6457704305648804
4.0,Mitochondria membrane,Mitochondria membrane,0.7796932458877563
2.0,Cytosol_4,Cytosol_4,0.5442816019058228
5.0,Cytosol_2,Cytosol_1,0.6731263399124146
2.0,Cytosol_1,Cytosol_1,0.3056350350379944
2.0,Nucleosol,Nucleosol,0.9169905781745911
3.0,Mitochondria membrane,Mitochondria membrane,0.8339422941207886
4.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.8095296025276184
1.0,"ER, peroxisome","ER, peroxisome",0.4580034613609314
4.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5626893639564514
3.0,Cytosol_3,Cytosol_3,0.7002875208854675
2.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.5032224059104919
4.0,Cytosol_3,Cytosol_3,0.3795758783817291
2.0,Mitochondria membrane,Mitochondria membrane,0.9861445426940918
5.0,Cytosol_4,Cytosol_4,0.5828154683113098
1.0,Nucleosol,Nucleosol,0.9424598217010498
2.0,Mitochondria membrane,Mitochondria membrane,0.920936107635498
1.0,Cytosol_2,Cytosol_3,0.40949946641921997
2.0,Nucleosol,"Nucleosol, Ribosome",0.4322679936885834
2.0,Cytosol_5,Cytosol_5,0.4913245439529419
4.0,Cytosol_1,Cytosol_2,0.3147554397583008
4.0,Cytosol_1,Cytosol_1,0.5034908056259155
1.0,Cytosol_1,Cytosol_3,0.30866819620132446
5.0,Plasma Membrane,Mitochondria membrane,0.5451172590255737
2.0,Cytosol_4,Cytosol_4,0.7183594107627869
5.0,Cytosol_1,Cytosol_1,0.8050076365470886
4.0,Cytosol_4,Cytosol_4,0.5087350606918335
1.0,"ER, peroxisome","ER, peroxisome",0.5782169699668884
4.0,"ER, peroxisome","ER, peroxisome",0.6082072257995605
1.0,Plasma Membrane,"ER, Mitochondrion",0.38123819231987
2.0,"ER, peroxisome","ER, Mitochondrion",0.6652616262435913
3.0,"ER, peroxisome",Plasma Membrane,0.7211698293685913
2.0,Cytosol_5,Cytosol_2,0.37709397077560425
5.0,Cytosol_3,Cytosol_3,0.41520440578460693
4.0,"ER, peroxisome","ER, peroxisome",0.7438094019889832
5.0,Cytosol_4,Cytosol_4,0.48218199610710144
2.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.62201327085495
3.0,"ER, Mitochondrion","ER, Mitochondrion",0.6603624224662781
4.0,Cytosol_1,Cytosol_1,0.632014274597168
1.0,"ER, peroxisome","ER, peroxisome",0.5311723351478577
5.0,Cytosol_5,Cytosol_5,0.8444138169288635
3.0,Cytosol_4,Cytosol_3,0.6240684986114502
5.0,"ER, peroxisome","ER, peroxisome",0.5830931067466736
5.0,"ER, peroxisome","ER, peroxisome",0.4917428493499756
4.0,Plasma Membrane,Nucleus (speckles),0.44196081161499023
2.0,"ER, Mitochondrion",Mitochondria membrane,0.2941213846206665
4.0,Cytosol_1,Cytosol_1,0.566665530204773
3.0,Cytosol_1,Cytosol_1,0.41600993275642395
2.0,Cytosol_1,Cytosol_1,0.9977052807807922
3.0,"ER, peroxisome","ER, peroxisome",0.4515536427497864
3.0,"ER, Mitochondrion","ER, Mitochondrion",0.6407713294029236
4.0,"ER, Mitochondrion","ER, peroxisome",0.47584906220436096
3.0,Cytosol_1,Cytosol_1,0.61729496717453
1.0,"ER, Mitochondrion","ER, Mitochondrion",0.485994815826416
1.0,Cytosol_1,Cytosol_3,0.40714436769485474
1.0,Cytosol_5,Cytosol_4,0.554051399230957
1.0,Cytosol_2,Cytosol_1,0.4826310873031616
1.0,Cytosol_1,Cytosol_1,0.43022623658180237
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.948457658290863
3.0,Cytosol_3,Cytosol_3,0.3681923449039459
5.0,Cytosol_3,Cytosol_3,0.5671905279159546
2.0,"ER, Mitochondrion",Mitochondria matrix,0.6245599985122681
4.0,Cytosol_1,Cytosol_3,0.3917742371559143
5.0,Cytosol_4,Cytosol_4,0.827170729637146
1.0,"ER, Mitochondrion","Nucleosol, Ribosome",0.5354973077774048
1.0,Cytosol_1,Cytosol_1,0.4197012186050415
1.0,Nucleosol,Nucleosol,0.8896767497062683
3.0,Cytosol_5,Cytosol_5,0.8467975854873657
3.0,Cytosol_5,Cytosol_3,0.48334065079689026
1.0,Plasma Membrane,Plasma Membrane,0.3739306926727295
2.0,Cytosol_1,Cytosol_1,0.43382182717323303
1.0,"ER, Mitochondrion","Golgi, Endo/Lyosome",0.4179213345050812
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9417222738265991
5.0,Cytosol_3,Cytosol_3,0.4841020107269287
4.0,Mitochondria membrane,Mitochondria membrane,0.8617199659347534
5.0,Cytosol_3,Cytosol_4,0.6053180694580078
4.0,"ER, peroxisome","ER, peroxisome",0.4567930996417999
2.0,"ER, Mitochondrion","ER, Mitochondrion",0.9663011431694031
4.0,Cytosol_1,Cytosol_3,0.4198742210865021
2.0,Cytosol_2,Cytosol_2,0.5300694108009338
4.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5684895515441895
4.0,Nucleosol,Nucleosol,0.7533825039863586
1.0,Cytosol_4,Cytosol_4,0.41414204239845276
5.0,"ER, peroxisome","ER, peroxisome",0.6127030253410339
4.0,Cytosol_5,Cytosol_2,0.35395923256874084
1.0,Cytosol_5,Cytosol_4,0.46454569697380066
3.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.9048829674720764
2.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.7392631769180298
1.0,Mitochondria membrane,Mitochondria membrane,0.599120557308197
1.0,Mitochondria membrane,Mitochondria membrane,0.5690392255783081
3.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.7615458369255066
4.0,Cytosol_5,Cytosol_4,0.4052707552909851
2.0,Nucleosol,Nucleosol,0.9786385893821716
1.0,Nucleus (Nucleolus),Mitochondria matrix,0.5540640950202942
2.0,"ER, Mitochondrion","ER, peroxisome",0.6044959425926208
5.0,Cytosol_3,Cytosol_1,0.3729371428489685
3.0,Cytosol_3,Cytosol_3,0.4408666491508484
1.0,Cytosol_3,Cytosol_3,0.5305827260017395
4.0,Cytosol_4,Cytosol_4,0.45769017934799194
3.0,Cytosol_4,Cytosol_4,0.83222496509552
5.0,"Golgi, Endo/Lyosome","Nucleosol, Ribosome",0.8313770890235901
3.0,Cytosol_4,Cytosol_4,0.5435299873352051
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9304075837135315
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.6649104356765747
3.0,"ER, peroxisome","ER, peroxisome",0.7716328501701355
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8056396245956421
3.0,"ER, peroxisome","Golgi, Endo/Lyosome",0.6386127471923828
2.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8326752185821533
4.0,Plasma Membrane,Mitochondria membrane,0.541204035282135
4.0,Plasma Membrane,Mitochondria membrane,0.4926280379295349
5.0,"ER, peroxisome","ER, Mitochondrion",0.4989928603172302
3.0,Plasma Membrane,Plasma Membrane,0.524527370929718
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9338050484657288
4.0,Mitochondria membrane,Mitochondria membrane,0.7962080240249634
3.0,Mitochondria membrane,Mitochondria membrane,0.5586032271385193
3.0,Mitochondria membrane,Mitochondria membrane,0.7968013286590576
1.0,Mitochondria membrane,Mitochondria matrix,0.5801238417625427
3.0,Mitochondria membrane,Mitochondria membrane,0.8233695030212402
1.0,Mitochondria membrane,Mitochondria membrane,0.7998847365379333
1.0,Mitochondria membrane,Mitochondria membrane,0.8260645866394043
5.0,Mitochondria membrane,Mitochondria membrane,0.9045049548149109
2.0,Mitochondria membrane,Mitochondria membrane,0.5950864553451538
2.0,"ER, peroxisome","ER, Mitochondrion",0.44739505648612976
1.0,"ER, Mitochondrion","ER, peroxisome",0.5746203660964966
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9290887713432312
2.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.7926589250564575
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8889270424842834
2.0,"ER, peroxisome","ER, peroxisome",0.5238937139511108
5.0,"Golgi, Endo/Lyosome","ER, Mitochondrion",0.46516504883766174
5.0,Plasma Membrane,Plasma Membrane,0.7995564341545105
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.556585967540741
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9263907074928284
1.0,"ER, Mitochondrion","ER, Mitochondrion",0.5873720645904541
4.0,Nucleus (speckles),Nucleus (speckles),0.989819347858429
4.0,Nucleosol,Nucleosol,0.7734872698783875
4.0,Cytosol_3,Cytosol_3,0.47140347957611084
3.0,"ER, Mitochondrion","ER, peroxisome",0.23654407262802124
2.0,Nucleus (Nucleolus),Nucleus (speckles),0.5917893648147583
2.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.9487573504447937
5.0,"ER, Mitochondrion",Plasma Membrane,0.616044819355011
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.6339454054832458
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9133309721946716
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8463024497032166
5.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9138383865356445
3.0,"Golgi, Endo/Lyosome","Nucleosol, Ribosome",0.5273723602294922
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9515401721000671
3.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.977212131023407
2.0,Cytosol_5,Cytosol_5,0.43003395199775696
4.0,Cytosol_2,Cytosol_2,0.660522997379303
4.0,Mitochondria membrane,Mitochondria membrane,0.6388524174690247
4.0,"Nucleosol, Ribosome",Nucleus (Nucleolus),0.4366118311882019
3.0,Cytosol_3,Cytosol_2,0.44461560249328613
3.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.7702096700668335
4.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5681198835372925
1.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.6327099204063416
2.0,Mitochondria membrane,"ER, Mitochondrion",0.5889459252357483
5.0,"ER, peroxisome","Golgi, Endo/Lyosome",0.5283253192901611
5.0,Cytosol_3,Cytosol_3,0.4975365102291107
3.0,Cytosol_3,Cytosol_3,0.36185699701309204
1.0,Cytosol_4,Cytosol_4,0.639805793762207
5.0,Mitochondria membrane,Plasma Membrane,0.6335038542747498
1.0,Mitochondria membrane,Mitochondria membrane,0.8354644775390625
5.0,Nucleosol,Nucleosol,0.9974498152732849
2.0,Nucleus (speckles),Nucleus (speckles),0.997241735458374
5.0,Mitochondria membrane,Mitochondria membrane,0.7846119403839111
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.7820329070091248
1.0,Cytosol_3,Cytosol_3,0.43084263801574707
4.0,Cytosol_3,Cytosol_4,0.3721064627170563
1.0,Cytosol_1,Cytosol_1,0.4519169330596924
2.0,Cytosol_1,Cytosol_1,0.37622958421707153
5.0,Cytosol_1,Cytosol_1,0.9232257008552551
5.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.9922658801078796
2.0,Cytosol_5,Cytosol_3,0.483824759721756
5.0,"ER, Mitochondrion","ER, Mitochondrion",0.5517175793647766
2.0,Plasma Membrane,Mitochondria membrane,0.7590413689613342
5.0,Plasma Membrane,Plasma Membrane,0.5772161483764648
3.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.733639121055603
1.0,"ER, peroxisome","ER, peroxisome",0.5133663415908813
1.0,Mitochondria membrane,"ER, peroxisome",0.39548105001449585
2.0,Cytosol_5,Cytosol_4,0.9063235521316528
4.0,Cytosol_3,Cytosol_1,0.45317718386650085
5.0,Cytosol_2,Cytosol_3,0.5141885876655579
4.0,Nucleus (speckles),Nucleus (speckles),0.9938828945159912
2.0,Nucleosol,Nucleosol,0.7487343549728394
5.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.7253329157829285
3.0,Cytosol_5,Cytosol_5,0.6737128496170044
3.0,Nucleus (speckles),Nucleus (Nucleolus),0.5557770729064941
2.0,"ER, peroxisome","ER, peroxisome",0.8967363238334656
4.0,Plasma Membrane,Mitochondria membrane,0.5414549708366394
2.0,"ER, Mitochondrion","Golgi, Endo/Lyosome",0.49640047550201416
4.0,Cytosol_5,Cytosol_5,0.6438168883323669
3.0,Cytosol_5,Cytosol_5,0.9673931002616882
5.0,Cytosol_3,Cytosol_3,0.5321002006530762
4.0,Cytosol_5,Cytosol_1,0.29949483275413513
2.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.8443982005119324
1.0,"ER, Mitochondrion","ER, peroxisome",0.4663495421409607
4.0,Cytosol_2,Cytosol_1,0.5997958183288574
5.0,Cytosol_5,Cytosol_5,0.7218735218048096
5.0,Mitochondria membrane,Plasma Membrane,0.6074602603912354
1.0,Cytosol_3,Cytosol_3,0.484808087348938
2.0,Cytosol_4,Cytosol_3,0.5138179659843445
4.0,Cytosol_2,Cytosol_3,0.2685377895832062
3.0,Nucleosol,Nucleosol,0.7732558250427246
1.0,Cytosol_4,Cytosol_4,0.6571500897407532
1.0,Cytosol_5,Cytosol_5,0.3498687744140625
2.0,Mitochondria membrane,Mitochondria membrane,0.5193799734115601
1.0,Cytosol_5,Cytosol_5,0.4881432354450226
5.0,"ER, Mitochondrion","ER, Mitochondrion",0.5357295870780945
3.0,Cytosol_4,Cytosol_3,0.5999931693077087
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9503324031829834
2.0,"ER, peroxisome","ER, peroxisome",0.6232837438583374
2.0,Mitochondria membrane,Mitochondria membrane,0.9752849340438843
5.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5894399285316467
5.0,Nucleus (Nucleolus),"Nucleosol, Ribosome",0.6364472508430481
5.0,Nucleosol,Nucleosol,0.795383870601654
2.0,"ER, peroxisome","ER, peroxisome",0.7965564131736755
1.0,Mitochondria membrane,Mitochondria membrane,0.5482347011566162
1.0,Mitochondria membrane,Mitochondria membrane,0.7997604608535767
5.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9911690950393677
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.953689694404602
2.0,Nucleus (speckles),Nucleus (Nucleolus),0.5855657458305359
4.0,"ER, peroxisome",Plasma Membrane,0.3990338146686554
3.0,Cytosol_2,Cytosol_2,0.7819406986236572
5.0,"ER, peroxisome","ER, peroxisome",0.5388242602348328
3.0,Cytosol_5,Cytosol_5,0.9028961658477783
3.0,Mitochondria matrix,Mitochondria matrix,0.9985675811767578
3.0,"ER, peroxisome","ER, peroxisome",0.7624642252922058
3.0,Cytosol_5,Cytosol_3,0.6887664794921875
3.0,"ER, peroxisome","ER, peroxisome",0.4731365442276001
5.0,"ER, Mitochondrion","ER, Mitochondrion",0.6642199158668518
2.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.975286066532135
2.0,"ER, Mitochondrion","ER, Mitochondrion",0.399422287940979
3.0,Mitochondria membrane,Mitochondria membrane,0.4767598807811737
5.0,Nucleosol,Nucleosol,0.9982762336730957
5.0,Cytosol_1,Cytosol_1,0.7633477449417114
3.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.47876372933387756
5.0,Mitochondria membrane,Mitochondria matrix,0.7496094703674316
5.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8296964764595032
3.0,"ER, peroxisome","Golgi, Endo/Lyosome",0.43065670132637024
5.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9876509308815002
3.0,Nucleus (speckles),Nucleus (speckles),0.8677895069122314
2.0,Cytosol_4,Cytosol_4,0.5213003158569336
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8575091361999512
4.0,"ER, Mitochondrion","ER, Mitochondrion",0.7588798999786377
2.0,Cytosol_5,Cytosol_5,0.7961738705635071
1.0,Cytosol_5,Cytosol_5,0.48151320219039917
3.0,Nucleosol,Nucleosol,0.9841488003730774
2.0,Cytosol_3,Cytosol_3,0.4867439270019531
4.0,Cytosol_1,Cytosol_1,0.9513360261917114
2.0,Plasma Membrane,Mitochondria membrane,0.6139997839927673
1.0,Cytosol_1,Cytosol_2,0.5168696045875549
4.0,Nucleosol,Nucleosol,0.9129830598831177
2.0,Nucleosol,Nucleosol,0.9438319802284241
3.0,Cytosol_1,Cytosol_2,0.5527809262275696
3.0,"ER, peroxisome","ER, peroxisome",0.499776691198349
2.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.9779600501060486
1.0,Cytosol_4,Cytosol_4,0.4360470175743103
1.0,Cytosol_4,Cytosol_3,0.451396107673645
1.0,Plasma Membrane,Plasma Membrane,0.43114641308784485
3.0,Cytosol_4,Cytosol_4,0.5159685015678406
4.0,Mitochondria matrix,Mitochondria matrix,0.5075843930244446
5.0,Cytosol_5,Cytosol_5,0.48334038257598877
1.0,Plasma Membrane,Plasma Membrane,0.6834510564804077
4.0,Cytosol_5,Cytosol_1,0.3998984396457672
2.0,Cytosol_4,Cytosol_3,0.48416635394096375
5.0,Cytosol_5,Cytosol_5,0.3799605667591095
3.0,Cytosol_4,Cytosol_3,0.5099011063575745
1.0,Nucleosol,Nucleosol,0.9129754304885864
1.0,Nucleus (speckles),Nucleus (speckles),0.8838649988174438
1.0,Nucleosol,Nucleosol,0.9761680960655212
4.0,Nucleosol,"Nucleosol, Ribosome",0.9427692294120789
5.0,Cytosol_5,Cytosol_5,0.5029882192611694
5.0,Mitochondria membrane,Mitochondria membrane,0.7182022929191589
1.0,"ER, peroxisome","Golgi, Endo/Lyosome",0.34496352076530457
2.0,Nucleosol,Nucleosol,0.97078537940979
2.0,Cytosol_1,Cytosol_2,0.6327622532844543
5.0,"ER, Mitochondrion","ER, Mitochondrion",0.835997998714447
5.0,Nucleus (Nucleolus),"Nucleosol, Ribosome",0.5325254201889038
1.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8006452918052673
3.0,"ER, Mitochondrion","ER, Mitochondrion",0.6934197545051575
4.0,Cytosol_1,Cytosol_2,0.736930787563324
4.0,Cytosol_5,Cytosol_4,0.3351622521877289
1.0,"ER, peroxisome","ER, peroxisome",0.6762468814849854
5.0,Cytosol_3,Cytosol_3,0.4899768829345703
4.0,Mitochondria membrane,Mitochondria membrane,0.5197390913963318
5.0,Nucleosol,Nucleosol,0.9965595602989197
3.0,Cytosol_5,Cytosol_5,0.4998062551021576
2.0,"Golgi, Endo/Lyosome","Nucleosol, Ribosome",0.7256008386611938
2.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.7327162027359009
1.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.6881715655326843
3.0,Cytosol_5,Cytosol_5,0.5814916491508484
5.0,Cytosol_1,Cytosol_2,0.419688880443573
3.0,Cytosol_2,Cytosol_2,0.8727450370788574
4.0,Cytosol_2,Cytosol_2,0.44157564640045166
5.0,Nucleosol,Nucleosol,0.9938773512840271
2.0,Nucleosol,Nucleosol,0.6617032289505005
2.0,Nucleosol,Nucleosol,0.6457317471504211
5.0,Plasma Membrane,Mitochondria membrane,0.5369887351989746
3.0,"ER, peroxisome","ER, peroxisome",0.5760111808776855
2.0,Cytosol_3,Cytosol_5,0.40035247802734375
3.0,Cytosol_1,Cytosol_1,0.7608561515808105
3.0,Cytosol_1,Cytosol_1,0.844327986240387
3.0,Cytosol_1,Cytosol_1,0.8169468641281128
4.0,Cytosol_1,Cytosol_1,0.8452392220497131
1.0,Cytosol_1,Cytosol_1,0.8534345030784607
3.0,"ER, Mitochondrion","ER, Mitochondrion",0.6122891902923584
3.0,Plasma Membrane,Plasma Membrane,0.6068029999732971
4.0,Cytosol_5,Cytosol_5,0.3638968765735626
1.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.923777163028717
1.0,Plasma Membrane,Plasma Membrane,0.6432197093963623
4.0,"ER, peroxisome",Plasma Membrane,0.5070446729660034
3.0,"ER, Mitochondrion",Plasma Membrane,0.4111357629299164
1.0,Plasma Membrane,Plasma Membrane,0.6024141311645508
4.0,"Golgi, Endo/Lyosome","Golgi, Endo/Lyosome",0.8378241062164307
5.0,"ER, peroxisome","ER, peroxisome",0.5822840929031372
2.0,Plasma Membrane,Plasma Membrane,0.7243139743804932
3.0,Cytosol_3,Cytosol_3,0.5138856768608093
3.0,Cytosol_3,Cytosol_2,0.37091484665870667
3.0,Cytosol_4,Cytosol_3,0.5200881958007812
3.0,Cytosol_1,Cytosol_5,0.5693691372871399
1.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5653363466262817
2.0,Cytosol_2,Cytosol_2,0.8722507953643799
4.0,Cytosol_2,Cytosol_5,0.2749464809894562
4.0,Nucleosol,Nucleosol,0.6769549250602722
4.0,Nucleus (speckles),Nucleus (speckles),0.625962495803833
1.0,Nucleus (speckles),Nucleus (speckles),0.6776185035705566
2.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.682641863822937
1.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.6935142874717712
2.0,Cytosol_5,Cytosol_5,0.3405913710594177
4.0,"ER, Mitochondrion",Cytosol_2,0.2895106077194214
2.0,"ER, peroxisome","ER, peroxisome",0.8565877079963684
2.0,Cytosol_5,Cytosol_5,0.3102191388607025
2.0,Nucleosol,Nucleus (speckles),0.4499105215072632
1.0,"ER, peroxisome","ER, peroxisome",0.4279309809207916
4.0,Nucleosol,Nucleosol,0.673057496547699
4.0,"ER, peroxisome","ER, Mitochondrion",0.417842298746109
2.0,"ER, Mitochondrion","ER, Mitochondrion",0.6457780003547668
5.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.7809679508209229
3.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.516032338142395
4.0,"ER, Mitochondrion","ER, peroxisome",0.39421412348747253
1.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.606270968914032
2.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.5456629395484924
2.0,Nucleus (speckles),Nucleus (Nucleolus),0.566017210483551
4.0,"Nucleosol, Ribosome",Nucleus (Nucleolus),0.4183397889137268
5.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.6528444290161133
3.0,Cytosol_2,Cytosol_3,0.5361369848251343
3.0,Mitochondria membrane,Mitochondria membrane,0.7143633365631104
3.0,Cytosol_2,Cytosol_2,0.5197094082832336
2.0,Cytosol_1,Cytosol_1,0.626134991645813
4.0,Cytosol_1,Cytosol_1,0.8009591102600098
4.0,Cytosol_3,Cytosol_3,0.46662279963493347
4.0,Plasma Membrane,"ER, Mitochondrion",0.2809700071811676
2.0,"ER, peroxisome","Golgi, Endo/Lyosome",0.4185919463634491
3.0,"ER, Mitochondrion","ER, Mitochondrion",0.5256896018981934
4.0,Cytosol_4,Cytosol_4,0.6343019008636475
3.0,"ER, peroxisome","ER, peroxisome",0.7123159170150757
4.0,Nucleus (speckles),Nucleus (Nucleolus),0.521076500415802
3.0,Mitochondria membrane,Mitochondria membrane,0.9806580543518066
4.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.7210708260536194
1.0,Nucleus (Nucleolus),Nucleus (Nucleolus),0.7147524356842041
5.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.9834887385368347
5.0,Nucleus (speckles),Nucleosol,0.8912426233291626
5.0,"Nucleosol, Ribosome","Nucleosol, Ribosome",0.7856853008270264
2.0,Nucleosol,Nucleosol,0.7340919375419617
2.0,Mitochondria membrane,Mitochondria membrane,0.9632068276405334
2.0,Nucleus (speckles),Nucleus (speckles),0.8899382948875427
2.0,Plasma Membrane,Mitochondria membrane,0.864107072353363
5.0,Cytosol_3,Cytosol_5,0.5813879370689392
